# FILE DATA
ID : MDRW2100011227
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저도ㅋㅋㅋ
P1 	: 아 오늘 엄청 막히네요
P0 	: 저는 금요일 오휴 반차입니다ㅎㅎㅎㅎ
P0 	: 부럽죠
P1 	: 하... 휴가쓸까
P1 	: ㅋㅋㅋㅋ이번주 내내 비오더라구요
P1 	: 출근하기싫게
P0 	: 그니까요
P0 	: 연차얼마나남으셧어요?
P1 	: 올해 세개 썼던가ㅋㅋㅋ
P1 	: 열세개는 족히 남아있을거에요
P0 	: 네? 헗
P0 	: 왜안쓰세요
P1 	: 써도 뭐 할게 없어서요??ㅋㅋㅋ
P1 	: 코로나로 뭐 할것도 없고
P0 	: 어닠ㅋㅋㅋ그래도,,
P0 	: 아 연차수당 나오나봐요
P1 	: 옛날엔 여행가려고 붙여쓰고 했는데
P1 	: 네네 연차수당 다 바꿔줘요
P0 	: 그럼저도안쓸듯요 ㅋㅋㅋㅋ
P1 	: 작년에도 거진 백만원?ㅋㅋㅋ
P0 	: 저흰안바꿔줘서ㅠ
P1 	: 아.. 나빴네요
P0 	: 헥
P0 	: 저도 16개중에 반조금넘게썻어요
P1 	: 한달에 하나씩 쓰셨네요 ㅋㅋ 좋다
P0 	: 왘 1분남기고들어왓네
P0 	: 출근하셧나요?
P1 	: ㅋㅋㅋㅋ저도 딱
P1 	: 9시에 도착
P0 	: 하아 오늘은 또 무슨핑계로
P1 	: 무슨 일 하세요?
P0 	: 내일월급날이네요 ㅋㅋㅋㅋㅋ신난다
P0 	: 저 사회복지요! ㅎㅎ
P1 	: 저흰 10일이라 이미 지남ㅠ
P1 	: 그럼 공무원이신거에요?
P0 	: 스쳐지나갓겟네요
P0 	: 아뇨 공무원아니에요 ㅋㅋㅋㅋ
P0 	: 세금이 저의월급이긴하지만
P1 	: 복지쪽이 말이 쉽지 민원에 엄청 치이던데요
P0 	: 네 스트레스 왕받아요 후,,,
P0 	: 무슨일하세요?
P1 	: 저는 제품개발입니다
P1 	: 캐드를 주로 쓰는
P0 	: 역시 그런쪽이 저는 멋있어보여요 ㅋㅋㅋㅋ
P1 	: 말이 그렇지 업체에서 이거 해주세요 하면 그거 그려서 만들게 해주는거에요
P0 	: 왕멋진데요?
P0 	: 저는 일 열심히해봣자 티가 1도안나요
P1 	: 막상 보면 별거없는ㅋㅋ
P0 	: 출근했는데도 폰잘하시네요 ㅋㅋㅋㅋㅋㅋ
P1 	: 음. 그래도 어느 정도 성과가 보여야 나름 보람찬데
P1 	: ㅋㅋㅋㅋ삼실인데요 뭐
P1 	: 바쁘면 볼 시간도 없겠지만요
P1 	: 오늘은 나름 널널하네요 아직까진
P0 	: 저는 컴퓨터랑 폰이랑 연결해서 지금 일하는줄알걸요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ???
P1 	: 컴으로 하세요?
P1 	: 블루스택 이런걸로 키신건가
P0 	: 윈도우 10쓰면 폰이랑 연결할수있던데용?
P0 	: 저지금 컴퓨터로 해요 ㅋㅋㅋ
P1 	: ??? 저도 10인데
P1 	: usb 연결해서요?
P0 	: 아뇨 같은와이파이면 바로 되든데여?
P0 	: 그 시작버튼에 사용자휴대폰이라고 있어요 ㅋㅋㅋ
P0 	: 해보세요 이거완전 개이득이에요
P1 	: 이야.. 좋은 컴터 쓰시네요
P1 	: 저흰 그런 기능 없어요ㅋㅋㅋ
P0 	: 예? 윈도우10이면 다 기본설정에 있는곤데 ㅠ 못찾는거아니에요? 검색해보세요 ㅋㅋㅋㅋ
P1 	: ???
P1 	: 찾아보겠습니다
P0 	: 예 꼭 성공하세요,,, 안드로이드 쓰시면 윈도우 연결하는거 설정에 따로있어요
P1 	: 헐 신기
P0 	: 찾았어요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 와... 충격적이네요
P1 	: 나름 얼리어답터로 잘 적응하며 산다고 생각했는데
P1 	: 늙었나
P1 	: 이런 기능이 있을줄이야
P1 	: 근데 이거 무섭네요 해킹당하면 우짬
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저는 이거바로발견하자마자 완전개이득이였는데
P0 	: 에이 무슨 해킹이에요 ㅋㅋㅋ해킹당할거있어요?
P1 	: ㅋㅋㅋ그냥 무섭잖아요 편한만큼?
P1 	: 쉽게 당할 것 같아서요
