# FILE DATA
ID : MDRW2100016611
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P0 	: 온라인커뮤중에남초는
P0 	: 진심
P0 	: 다
P0 	: 별로인듯
P1 	: 아 ㅇㅈㅇㅈ
P1 	: 특유의 그 바이브가 싫어
P0 	: ㅇㅇㅇ특히에타는
P0 	: 남초된지
P0 	: 오래된거같음
P1 	: 아 진심
P0 	: 나작년대학교
P0 	: 처음들어가서에타보는데
P0 	: 충격먹었잖나
P1 	: 왜왜??
P0 	: 그래도나름나쁜학굗ㅎ아니엇는데
P0 	: 인기글보면답이없어서
P0 	: 학력은상관없구나했지
P1 	: 아 이런
P0 	: 나 심지어 20살 초반에는 렏펨은 너무 과격해 이러는
P0 	: 심각한
P0 	: 수준이었는데
P0 	: 덕분에뚝딱머리깨짐
P0 	: ㅋㅋㅋㅋㅋ
P1 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진심
P0 	: 이걸고맙다해야하는지
P0 	: 참
P0 	: 지들이페미를더만들도있는걸왜모를까
P1 	: 진심 어쩜 그럴 수가 있는지
P1 	: 그니까
P0 	: ㅋㅋㅋㅋㅋㅋ근데
P0 	: 공학다니면서
P0 	: 머리안깨지는애들은
P0 	: 신기하긴함
P0 	: 지남친이에타를한다는사실을모르는걸까
