# FILE DATA
ID : MDRW2100013463
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  주 1~2회

P0 	: 게살 샌드위치 좋아~~
P0 	: 벌써부터 설렘~~
P0 	: 게살게살~~~
P1 	: 결국 게살 못먹었네ㅜㅠ
P1 	: 대신 샐러디 도전해봤으니까 뭐
P0 	: 게살..ㅠ
P0 	: 어쩔수없징...
P1 	: 담엔 서브웨이를 먹겠어
P0 	: ㅋㅋㅋㅋ구랭
P1 	: 오늘 떡볶이도 먹었으니까 해피엔딩이야
P0 	: 샐러디에 많이 실망한 모양이군
P1 	: 순대도 맛있더라
P0 	: 떡볶이 존맛~~~!
P1 	: ㅋㅋㅋㅋ그렇다!
P0 	: 히히히
P1 	: 맛없진않은데 아쉬운
P1 	: 샐러드였어
P0 	: 같은가격 다른샐러드가 훨씬 마시썽
P1 	: 순대 허파 짱 맛있어~
P1 	: 맞아맞아
P0 	: 뷁~
P1 	: 붹은뭐야ㅋㅋㅋ
P0 	: 순대 허파 쫠깃쫠깃
P1 	: 냄시나ㅜㅜ
P0 	: ㅋㅋㅋㅋㅋ샐러디 뷁
P1 	: 아재냄시
P1 	: ㅋㅋㅋㅋㅋ맘에든다 나도써야지
P0 	: 구랭 써봐
P0 	: 아재 냄새 같이 내는거야!
