# FILE DATA
ID : MDRW2100039211
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그러니까...
P1 	: 반복반복과 반복...
P0 	: 그래도 같은거 반복이라
P0 	: 아무생각 없이 적응하긴 쉬운 업무긴 해 ㅋㅋㅋ
P0 	: 공공기관 업무들이...
P1 	: 등기요 빠른거요 네 전화번호는요 택배면 안에 내용물이 뭐예요 배상 안되세요 카드로 하시나요(주절주절
P1 	: ㅋㅋㅋㅋ
P1 	: 근데 가끔 바리에이션이 있어서 ?! 해버린다니까
P0 	: 아 ㅋㅋㅋㅋㅋ 맞아 가끔 변수 잇어
P1 	: 번호를 쓰거나 준 다음에 물어봐야지 어?
P1 	: 내가 어떻게 님 번호를 알아요
P1 	: 관심법인가
P0 	: ㅇㅇ 아니면 주소 안쓰고 덜렁 들고오기
P1 	: 내가 궁예로다
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 처음 보내본다면서 막 물어보고 그러는건..그래 괜찮아..하지만 전엔 안그랬다고 하면서 그럼....어카란..거지..? 주소 오타좀 내지마...
P0 	: ㅇㅇ ㅋㅋㅋㅋ 전엔 해줬는데 왜 안돼요?
P0 	: 젤 골치아픈 유형...
P1 	: ㅋㅋㅋㅋㅋㅋ 전엔 호의...겠죠...
P1 	: 아님 운이 좋았거나..
P1 	: 그리고 이제 복사 업무도 슬슬 시키시네 아니 신분증 복사까지 하나요
P1 	: 온누리 상품권 때문에 이게 뭔 일이지
P0 	: 아 온누리....
P0 	: 정말 슬슬 명절이 다가오는군
P0 	: 요즘 추석이라고 할인판매중이더라구
P1 	: ㅇㅇ.. 50만원을 45만원에 판매하는
P1 	: 뭐 내가 판매하진 않지만 원래 손님+온누리까지 겹쳐서
P1 	: 많ㄷ
P0 	: ㅇㅇ 역시 업무량 과다의 명절... 추석...
P1 	: ㅋㅋㅋㅋㅋㅋㅋ 추석ㄱ..설...
P1 	: 그리고 민원의 계절
P1 	: 착실히 쌓아오는 민원(아님
P1 	: 아 참 물어봤는데
