# FILE DATA
ID : MDRW2100015583
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이직 많이 해보셨나요?
P1 	: 알바를 많이해봤어요!
P1 	: &name1&은요? 어떠세요?
P0 	: 저도 프로 알바러였죠...
P0 	: 오떤 알바 해보셧어요?
P1 	: 주유소알바 빵집알바 병원알바 등등을 해보았어요 ㅎㅎ   무슨알바해보셨어요?~
P0 	: 식당 피씨방 행사장 공장 이것저것 많이해봣어요..
P0 	: 병원알바는 어떤거에요?
P1 	: 환자분들 문진표쓰는거 도와드리거나 가야할 곳 안내하는거였어요!  
	  공장은 어떤공장가보셨어요..? 행사장 알바도  신기해요!
P0 	: 공장은.. 명절 떡공장, 고지서 만드는데.. 해봤어요.. 
	  행사장은 진행스텝이요
P0 	: 진행스텝이 진짜 꿀 알바죠
P1 	: 와 진행스탭 ...멋있어요 뭔가ㅎㅁㅎㅋㅋㅋ
P1 	: 명절떡공장은진짜바쁘셨겠는데요..?
P0 	: 역대 최고힘든..
P0 	: 떡이 진짜 끊이지 않고 나가더라구요..
P1 	: 진짜 잠시도 쉬지않고 일해야할거같은데.. 설마 이것도 최저임금이었나요ㅜㅜ?
P0 	: 도급알바들이 다 최저시급이죠..
P0 	: 정말 힘들게 일하는 사람 많은듯..
P0 	: 빵집은 빠바같은거엿어요?
P1 	: 아주작은체인점이었어요! 아마 유명하진않을듯..
P1 	: 그땐 포스기도없는 곳이어서
P1 	: 빵가격을무식하게외웠어야했어요..ㅋㅋㅋㅋㅋ
P1 	: 그가게가이상했던거같아요
P1 	: 역시 다 최저시급이군요 ㅜㅜ
	  더주는데찾는게힘든거같어요..
P0 	: 에? 포스기 없는 가게도 있어요?
P0 	: 첨에 머리 엄청 아팠겠네요
P1 	: 맞아요ㅜㅜ급 테스트하시고ㅋㅋㅋ
	   그러게요 동네 작은 빵집이라 그런것도 마련안해두고.. 그래서그런지 빨리 망했어요..ㅋㅋㄱㅋㅋ
P1 	: 지금은 평범한 직장인이셔요?
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 망하다니..
P0 	: 지금은 평범한 백수에요..
