# FILE DATA
ID : MDRW2100004471
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 오늘 아빠가 아침에 나 컴하는데 방에들어와서
P0 	: 시원한데 왜 선풍기를 틀어 하면서
P0 	: 창문열고 방문열도하는데
P0 	: 개스트레스
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌ아웃겨
P0 	: 아 뭐야 이거 왜 없어져
P0 	: 쨌든 아 에어컨도아니고
P0 	: 선풍긴데 왜그러는데요~~~~
P0 	: 말은 못하고 속으로 삭이기
P0 	: 제발 가족이라도 방에 벌컥벌컥 들어오지 말았으면
P1 	: 아빠라서..
P1 	: 문잠구면 되자늠
P0 	: 으에에에유ㅠㅠㅠ
P0 	: 내가 잠그믄걸 별로 안좋아함
P1 	: 헐 왜.. 근데 부모님들 다 그렇더라
P0 	: 한여름일때보다는 덜들어오시기는 하는데..
P0 	: 이래나저래나 스트레스인건 동일
P1 	: 문을.. 몰래잠구면 어때
P0 	: ㅋㅋㅋㅋㅋ아니 내가 문잠그는걸 별로 안좋아한다니깐요
P0 	: 그냥 문 살짝열어놓고 시야가리는정도를 좋아하는데
P0 	: 엄빠가 벌컥벌컥들어오는 상황이라는거지
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 잘못이해람
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋ 내가 안좋아하는걸 다르게 이해했구낰ㅋㅋㅋㅋㅋ
P1 	: ㅇㅇㅇㅇㅋㅋㅋㅋㅋ
P0 	: 쨌든 가족에게의 요새의 바람은
P0 	: 제발 노크좀하세요
P0 	: 가 되어버린 상황
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 노크좀 하고 오라고~~~
