# FILE DATA
ID : MDRW2100018109
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전북
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 예전엔 게임 많이했었는데
P0 	: 전 게임 아는 거라곤
P0 	: 크레이지 아케이드, 카트라이더, 테일즈런너.. 이런 예전 게임 뿐이라.. ㅎㅎ
P1 	: ㅋㅋㅋㅋㅋ아
P1 	: 저희 같은세대일지도 모른다는생각이 드네요
P1 	: 카트라이더 ㅋㅋㅋ
P1 	: 크아 ㅋㅋㅋㅋ
P1 	: 저는 테일즈위버라는 게임도했었어요
P1 	: 퀴퀴 아시나요
P1 	: 퀴즈퀴즈 큐플레이
P1 	: 알투비트....ㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  퀴퀴는 잘 모르겠고.. 테일즈 위버는 저도 했아요!
P0 	: 헐 알투비트
P0 	: 완전 추얻이에요
P1 	: 그쳐그쵸 ㅋㅋㅋㅋㅋ
P0 	: 전 그리고 플레시게임 이런거 많이 햏아요
P1 	: 테일즈위버는 길드장이였는데 ㅋㅋㅋㅋㅋ
P0 	: 슈게임 이런거.. ㅋㅋㅋㅋㅋ
P1 	: 그때 대학동기가
P0 	: 헐ㅋㅋㅋㅋㅋ 열심히 하셨네요!
P1 	: 같은서버에서 게임하고있던얘라
P1 	: 민망했어요 ㅋㅋ
P0 	: 앜ㅋㅋㅋㅋㅋㅋ 그쵸.. 아는 사람잏으면 괜히.. ㅎㅎ
P1 	: 생각해보니 게임 엄청했었네요...ㅋ ㅋㅋㅋ
P1 	: 하라는공부는안하고
P1 	: 슈게임은 첨들어봐요 !@
P1 	: 앜ㅋㅋㅋㅋ
P1 	: 검색해보니 알겠어요
P1 	: 어렸을때 많이하던게임!!!
