# FILE DATA
ID : MDRW2100006861
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 열개
P0 	: 남음
P0 	: 화이띵
P0 	: 배달자주
P0 	: 시켜드시나여
P1 	: 굿
P1 	: 일주일에 2번?
P1 	: 줄여야겠음
P1 	: 클남요
P1 	: 님은?
P0 	: 줄입시다
P0 	: 몸에안좋아요
P0 	: 제가
P0 	: 요리를 해보겟슴다
P1 	: 장금이임?
P1 	: 머 잘함?
P0 	: 되볼께여
P0 	: 유투브레시피
P0 	: 고고
P1 	: 백종원?
P0 	: 카페어디조아하나유
P1 	: 안가림요
P1 	: 님은?
P0 	: 저두여
P1 	: 에스프레소
P1 	: 충 아님요?
P0 	: 돌체는
P0 	: 화장실가유
P1 	: 콜드돌체
P1 	: 굿
P1 	: 딴건 텁텁
P1 	: 속울렁
P1 	: 님은
P1 	: 자몽 허니?
P0 	: 네네
P0 	: 자몽허니
P1 	: 아이스
P1 	: 얼죽아임?
P0 	: 얼죽아에여
