# FILE DATA
ID : MDRW2100032884
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㄴㄴ
P1 	: 배달 말고 집법
P1 	: 할 거면 외식해
P0 	: ㅋㅋㅋㅋㅋ오
P0 	: 철저하네
P0 	: 엽떡배달의 유혹을 참다니
P1 	: 엽떡 매워서 못먹어
P1 	: 맵찔 ㅋ
P0 	: ㅋㅋ신라면은
P0 	: 괜찮은거야?
P1 	: 배떡이나
P0 	: 응떡은어뗘
P1 	: 청년다방 시켜
P0 	: 청년다방 비싸ㅡㅡ
P1 	: 응떡도 매웤ㅋㅋㅋㅋ
P0 	: 거긴 고기를 좋아하는 사람들이
P0 	: 가더라
P1 	: 신라면도 쫌 애워ㅠ
P1 	: ㅋㅋㅋㅋㅋ어 맞아 차돌로 시켜
P1 	: 엄마돈으로...^^
P1 	: ㅋ
P0 	: ㅋㅋㅋㅋㅋ그래서 적금이 많앗구만!!!
P0 	: 난 배달비로 월십은 쉽게나가는듯..
P1 	: ㅋㅋㅌㅋㅋㅋㅋ그렇지^^
P1 	: 엄마 고마워요~
P1 	: 헉 배달을 각자 시켜?
P0 	: 그치?? 보통은
P0 	: 내가시켜서 엄마를드리지...
P0 	: 부모님은 배달음식안좋아하니까 내것만시킬때두많음
P1 	: 아항
P1 	: 난 배달 안 시키면 잇는 거 주워먹어갖구
P0 	: ㅋㅋㅋㅋㅋ치킨도 그럼 부모님께서 시켜주셔?! 부럽다
P0 	: 근데 진짜 배고프다
