# FILE DATA
ID : MDRW2100028711
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 그러나 전 요즘 책을 읽지 않아요...
P0 	: 예전에 읽었던 책 욕하기 대회같은 거...
P0 	: 국어국문학과에 간다는 것은 근현대작가들을 증오하게 되는 게 아닐까?
P0 	: 라는 국어국문학과의 주장
P1 	: ㅋㅋㅋㅋㅋ꺄 재밌겠다
P1 	: 어느 작가가 제일 싫으신가요ㅋㅋㅋㅋㅋㅋ!!
P0 	: 그냥..셀수도 없는데... 이광수도 싫고요...
P0 	: 제목 까먹었는데 그 뭐냐... 일본 유학 가있다가 애정 없는 아내 사경이라고 해서 귀국하는 소설 있는데
P0 	: 뭔가 해석은 식민지의식에서 탈피했단 식으로 해놨는데 내가 보기엔 전혀 아닌 그런 거 알지
P0 	: 하 때지난 대학 tmi 발사...
P1 	: ㅋㅋㅋㅋㅋ알져알죠 그냥 내가 보기엔...너무 싫은
P1 	: 아녀 저 대학얘기도 좋아요ㅋㅋㅋㅋ...전 국문과 수업 한번도 안 들어서ㅠㅠ
P1 	: 근데 근현대 소설 싫어해서 안 들은 거 다행이다...
P0 	: ㅋㅋ옳은 일입니다... 근데 그 소설... 논문들은 다 주인공 좋게 표현해주고 있는데 나만 얘 그냥 식민지자아잖아 해서
P0 	: 차마 연약한 학부생은 논문에 배틀 뜨자고 할 수 없었어
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ마자... 논문... 맘에 안 들어요 다
P1 	: 논문 왕짱 싫어...너무 싫어..였던 기억이 나네요
P1 	: 그냥 일단 논문이라는 거 자체에서 싫은데 나랑 안 맞는 소리하면 더 싫어요ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅇㅏ 근데 무슨 소설인지 너무 궁금해지는...
P0 	: 아 교과서에 실려서 아마 그 장면은 알텐데
P0 	: 귀국하는 길에 일본인들이랑 욕탕에 들어가는데 일본인들이 조선인들 어떻게 고혈을 뽑는지...그런 얘기를 해서
P0 	: 갑자기 막 죽어있던 조선인의 의식이 깨어오르는 장면
P0 	: 조잡한 설명이다
P1 	: 앗 기억난다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ근데 제목은 기억 안나네요
P1 	: 그냥...근현대소설은 역사적인 의미부여하며 해석하는 것도
P1 	: 조금 짜증난다고 생각해요
P1 	: 왜냐면 역사 싫어하니까...
P0 	: 뭔가... 해석 보면 알 것 같긴 한데
P0 	: 연약한 자아에 비대한 해석인 듯한 경우도...
P1 	: 마자요... 너무 좋게 봐줍니다...
P1 	: 근데 소설 분석하면서 읽어야대면 진짜 힘들 거 가타요 국문학과는 그렇구나...
P0 	: 사실 난 음운학이 제일 어려웠지만...
P0 	: 문법 몰라요 읽을줄만 알아요
P1 	: 음운학이라니...말만 들어도 어렵잖아...
P1 	: 저는 시 수업 같은 게 젤 어려워보여요 현대시 1도 모르겠다...
