# FILE DATA
ID : MDRW2100019992
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 제주
principal_residence : 광주
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 페스츄리소세지빵 샀어요
P0 	: 그거 맛있는데
P0 	: 짠맛의 정석
P0 	: 약간 페스츄리에서 단맛나서 단짠단짠
P1 	: 맞아요 ㅋㅋㅋㅋㅋ
P1 	: 페스츄리소세지빵 좋아해요 ㅎㅎㅎ
P1 	: &name1&님은 또 뭐사셧어요
P0 	: 그 소시지빵 좋아하시면
P0 	: 뽀드득 그릴소시지도 한번 드셔보세요
P0 	: 이거 소시지가 진짜 맛있어요
P1 	: 오 빵마다 소세지가 다른건가요?
P0 	: 그 약간 다른 빵은 얇은 소시지쓰는데
P0 	: 뽀드득은 소시지를 좀 비싼거써서 진짜 맛있어요
P0 	: 가운데 무채가있는데 그게 핵심입니다
P1 	: 대박
P1 	: 다음에 뽀드득 사봐야겟어요
P1 	: 아니근데 거의 빵전문가세요
P0 	: 꼭 한번 드셔보세요
P0 	: 저는 사실 대부분의 음식을 좋아해서ㅎ
P0 	: 그리고 파바는 은근.. 아이스크림 맛집입니다
P1 	: 하드 말씀하시는건가요?
P1 	: 하드라니까 급 늙은이같네요 ㅋㅋㅋ
P0 	: 하드도맞고 콘도맞고
P0 	: 아니에요ㅎㅎ
P0 	: 뻔할거같은데 뻔하지않은 맛
P0 	: 진짜 맛있어요 언제 한 번 금액 애매할 때 맞추려고 사보세요
P1 	: 그래봐야겟어요
P1 	: 뀐아망 뽀드득 아이스크림
P1 	: 메모
P0 	: 아이스크림 좋아하시나요
