# FILE DATA
ID : MDRW2100026060
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 강원
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 우리 애는 지금 집에 없어요...
P0 	: 왜요? 산책 나갔어요?
P1 	: 엄마랑 외가 갔어... 산책 갔나바
P1 	: 애기 보고 싶어...
P0 	: 아하아하 저희 집 강아지는 지금 제 옆에 누워있어요 부럽죠~
P1 	: 머야 부러워
P1 	: &name3& 안뇽
P1 	: &name3&야... &name4&는... 집에 없어...
P1 	: 언니는... 쓸쓸해...
P1 	: 아
P1 	: &name3& 이입해주세요
P0 	: 미쳤나봐 울 &name3&한테왜글애요
P1 	: &name3&미 따라해봐요
P0 	: 멍멍...멍....
P1 	: 멍멍이라니 애들은 멍멍하고 짖지 않아
P0 	: 우리 &name3&는 낑낑거리는데 여기서 낑낑거릴슈는 없잖아요
P1 	: 낑낑
P1 	: 우리 애는... 씁하킁킁킁해요
P0 	: 짖는 게 아닌데요
P1 	: 킁 씁 흥 킁 킁으로 대화를 시도해
P1 	: 애가 안 짖는걸요
P1 	: 가끔 초인종 눌릴 때 워!!!!!!! 하고 짖지만
P0 	: ㅋㅋㅋㅋㅋㅋ 아 그래도 그때는 짖는구나 다행이다 킁 끕 흥 머무웃겨 귀여워요 ㅠ ㅠ
P1 	: 크으으으윽 하는 소리가 나요
P0 	: 맞다 &name4&는 몇살이었죠
P1 	: 대형견이기도 하고 못 짖게 훈련 받았으니까ㅠㅜ
P0 	: 아니 사람 소리같아 개욱겨요
P1 	: 우리 애 이제 7살
P1 	: 들으면 알 거야 나중에 들려줄게요 ㅋㅋㅋㅋㅋ
P0 	: 아앙.....영리하네 우리집 대형견 &name5&는 그런 훈련 안받아서 개난리나요
P0 	: ㅋㅋㅋㅋ아 좋아요 귀엽겠다
P1 	: 막 짖어요?????
P1 	: 신기하다 막 짖는 대형견 거의 못 봤는데
P0 	: ㅇㅇ 그런 편임 것 같아요 사실 본가 안 가서 잘 모르겠지만
P1 	: 오타 안 나는 수플레 신기하다 했더니 나는구나
P0 	: 문 밖을 보며 맹렬하게 짖던 거 같긴 했어요 (건물 자체가 다 개키우는 집이라 괜찮지만<-집주인이 개많이키움
P0 	: 아놔 힘내고 있잖아요
P1 	: 시골 개...
P1 	: 많이... 짖는다... 공간 넓다...
P1 	: 라고 했는데...
P1 	: 우리 애는... 피부가 약해요. 알러지가 있어.
P0 	: 반말업이가자. 아앙 ㅠ 약발라요 그럼?? 먹는 게 따로 잇나?
P0 	: 반말업이래 반말로 가자!
P1 	: 좋아! 우리 애 소독도 자주 하고 약도 먹고 바르기도 하고 그래요.
P1 	: 병원도 자주 가요. 귀도 자주 뒤집어줘야 해요.
P0 	: 이이이이잉 ㅠ.ㅜ 멈머 아프지마...... 건강해......
P1 	: 외국인이 코리안걸 좋아한다고 말 걸어 개웃기다
P1 	: 암튼... 리트리버라서 귀가 길다 보니... 여름이 힘들어요... 습해서...
P0 	: 글고보니 &name4&는 접힌 귀엿조 귀여워..
P1 	: 웅... 쫑긋 귀 넘 귀야워.
