# FILE DATA
ID : MDRW2100009898
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 연락은 자주하세요?
P0 	: 요새는 영상통화 같은게 있으니까요
P0 	: 커뮤니티라면
P0 	: 오프라인은 아니니데
P0 	: 아닌데
P0 	: 네이버카페 긴급헌혈단 얼마전에 가입했어요
P1 	: 아 그런것도 있어요
P1 	: 저는 영국에서 6개월이상 지낸적 있는데
P1 	: 혈우병 위험으로
P1 	: 30년간 헌혈이 안된대요
P0 	: 아하 ㅜ 저런 거의 평생이네요
P1 	: 네
P1 	: 저는 커뮤니티 활동은 잘 안하는데
P1 	: 활동하면
P0 	: 요새 코로나라서 혈소판이 많이 부족하대요
P1 	: 오프라인 모임도 하나요?
P1 	: 아 혈소판
P0 	: 백혈병 환자들이 10개 맞아야할거 3개만 아껴맞고 그런다고
P0 	: 오프라인 모임은 아니에요 ㅎㅎ
P0 	: 참여하시는 모임 있으세요
P1 	: 친구들끼리 먹자계하네요 생각해보니
P1 	: 다달이 돈모아서 맛있는거 먹으러
P0 	: 오 나쁘지 않네요
P0 	: 코로나만 조심하면ㅜ
P0 	: 아이고 이놈의 코로나 진짜ㅜㅜ
P1 	: 사실 코로나때문에 6개월째 모임 안해서
P1 	: 모인돈 돌려주기도 했어요
P0 	: 비말 감염 이라니까 먹는거나 술마시는게 젤 걱정되죠
P0 	: 4인이상 모임금지 풀렸나요
P1 	: 잘 모르겠네요
P1 	: 접종률 올라가면
P1 	: 위드코로나로 바뀔거라던데
