# FILE DATA
ID : MDRW2100022210
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오케이광자ㅁ
P1 	: 펜트하우스요
P1 	: 요즘 핫하길래
P0 	: 저도 펜트하우스 봐요
P0 	: 이번주꺼 보셨나요
P1 	: 좀전에 봤어요
P1 	: 어이가 없는..
P0 	: 좀 전에 보셨구나
P0 	: ㅋㅋㅋ 맞아요 어이없어요
P0 	: 억지에 억지를 더해서.. 너무 산으로 가더라구요
P1 	: 이건 뭐 의리로 보려고 해도
P1 	: 너무 말이 안되니까ㅋㅋ
P0 	: ㅋㅋ 많이 봐줘서 시즌2까지는 그러려니했는데
P0 	: 시즌 3는..
P0 	: 특히 저번주 엔딩 이번주 오프닝 너무 잔인하지않았나요
P1 	: 그러니까요..ㅋㅋ
P1 	: 근데 또 멀쩡하게 살아나는게
P1 	: 하긴.. 바로 옆에서 폭탄이 터져도
P1 	: 얼굴에 화상밴드 몇개 붙이고 끝이라
P0 	: 아 로건 진짜ㅋㅋㅋㅋ
P0 	: 그인간이 제일 말이 안되는거 공감합니다
P0 	: 재활도안하고 겁나 잘걸어ㅋㅋㅋ
P1 	: 그런데도 하박사는
P1 	: 머리 쿵 했다고
P1 	: 못일어나고ㅋㅋㅋ
P0 	: ㅋㅋㅋ진짜ㅋㅋㅋㅋ
P0 	: 너무어이없어요ㅋㅋㅋ
P0 	: 샹들리에 떨어진 천서진도 멀쩡한데
P0 	: 하박사가 못일어나는게ㅋㅋ
P1 	: 다음주는 어떨거 같아요?
P1 	: 이지아
P0 	: 다음주가 마지막화라..
P0 	: 어.. 음.. 살지않을까요
P0 	: 로건도 살아나는 마당에ㅋㅋㅋ
P1 	: 펜트하우스부분부터
P0 	: 헬기 등장할지도...?
P1 	: 고꾸라지던데..
P1 	: 그러게요
P1 	: 헬기썰 낙하산썰
P1 	: 많던데ㅋㅋ
