# FILE DATA
ID : MDRW2100008788
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 당근마켓 재밌어보여요
P1 	: 저는 가끔씩 하거든요 안쓰는거 팔구~ ㅋㅋ
P1 	: 아직 이용한적은 없으세용?
P0 	: 넹 이용은 안해봤어요
P0 	: 중고거래는 해봤구요
P1 	: 저도 중고나라 쓰다가 당근도 쓰는데 진짜 소소한거는 당근에 내놓고있어요 ㅋㅋㅋ
P1 	: 작은것도 동네에서 간단하게 거래할수있어서 편하더라구요
P0 	: 넹넹 중고나라에 비해 어떤점이 좋으세요?
P0 	: 믿을만한게 장점이라 들었어요
P1 	: 저는 주로 판매하는쪽인데 택배는 아무래도 번거로운것에 비해 직거래는 그냥 만나서 전해주면 되니까!ㅎㅎ 간편해요
P1 	: 그리고 집근처에서 거래하니까 시간절약도 되구요!
P0 	: 넹 주로 어떤 물건 파셨어요?
P1 	: 당근에서요?
P0 	: 넹넹
P1 	: 받침대 부러진 글루건, 안쓰는 그릇, 집에 나뒹굴던 샤프심잔뜩...  뭐 이런거요 ㅋㅋㅋ
P0 	: 넹넹 잘파셨네요
P1 	: 진짜 소소한거 있잖아요~ 중고나라에 굳이 사진찍어서 연락기다리기엔 뭐한..ㅎㅎ
P0 	: 네네 ㅎㅎ
P0 	: 그런 물건들 갖고있느니
P1 	: 근데 당근은 금액을 엄청 낮춰야 팔려요~
P0 	: 쓸사람한테 보내주는게 좋은거같아요
P1 	: 필요없는거 올리는거라ㅜ ㅎㅎ
P0 	: 아아 그렇군요
P1 	: 저는 미개봉 미사용 제품을 주로 파는데 그냥 몇천원에 파는거 같아요
P0 	: 넹넹 넘 싸면 좀그러실수도있겠어요
P0 	: 되파는사람들도 있다고하더라구요
P1 	: 아 맞아욬 ㅋㅋㅋㅋ 저 진짜 황당한 적도 있엉ㅎ
P1 	: 있어요
P0 	: 어떤일이셨어요?
P1 	: 안쓰는 사무용품들 묶음으로 진짜 헐값에 올렸는데 고대로 다시 파시더라구요.
P1 	: 가격을 올리는것도 아니고 그냥 고대로 파시길래 뭐지..? 하고 말았는데
P1 	: 나중엔 안팔리는지 본인이 산 가격보다 더 낮춰서 팔더라구요 ㅋㅋㅋ
P0 	: 헐 황당하네요
