# FILE DATA
ID : MDRW2100003600
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 가정 주부
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요! 오늘 날씨가 걷기 딱 좋은 날씨라 운동 겸 잠시 산책 나왔어요ㅎㅎ 혹시 따로 운동 하시는 거 있으세요?
P1 	: 지금은 쉬고있는데 필라테스 배웠었어요!!
	  스쿼시나 라켓볼도 좋아해용
P0 	: 와 필라테스! 기구같은걸로 하시나요? 운동뚱에서 잠시 봤던!
P0 	: 오 활동적인 운동도 좋아하시는군요!
P1 	: 네네 기구필라테스요!! 혹시 어떤 운동 좋아하세요?
P0 	: 오 저는 했던 운동중에서는 스피닝이 제일 재밌었어요 시간도 잘 가고!
P0 	: 근데 요샌 실내체육관은 안다니고 가끔 산책해요
P0 	: 날 풀려서 다시 런데이 해볼까 생각중이랍니다!
P0 	: 차차님은요?
P1 	: 저도 산책다닐까 생각중인데 요즘 비가많이와서 실천을 못하네여ㅠㅠ
P0 	: 그니까요 오늘도 비 오고 ㅠㅠ
P0 	: 그나마 걷기가 제일 만만한 운동인데 말이죵ㅋㅋ
P1 	: 맞아요 그런데 날씨가 안따라줘서ㅠㅠ 걷기운동도 못하고 있네요
P0 	: 그러게요 아마 가을장마 끝나고 가능하겠죠?
P0 	: 그전에 홈트라도 하면 좋은데 귀찮은ㅎ..
P0 	: 홈트도 하시나요?
P1 	: 아뇨 홈트는 따로 안하고있어요
P1 	: 기구는 있는데
P1 	: 안해요ㅎㅎ
P0 	: 오 집에 기구도 사두셨어요?어떤거요?
P0 	: 전 스텝퍼 고민중인데
P0 	: 지금 집에있는 바이크 수건걸이 돼서..ㅎㅎ 안사고있어요
P1 	: 오 그것도 많이 하나요?
P1 	: 저는 소소한 것들이여
P1 	: 아령이나 훌라후프이런거요
P0 	: 오 아령 홈트보면 많이 하시던데 같이
P0 	: 훌라후프 혹시 지압..?
P1 	: 맞아용 지압훌라후프용
