# FILE DATA
ID : MDRW2100027561
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 어제
P1 	: 난리
P1 	: 신
P1 	: 세
P1 	: 계
P1 	: 신.세.계 마트
P1 	: 온라인 어제
P1 	: 쿠폰 잘못 뿌려서
P1 	: 난리났어요 ㅋㅋ
P0 	: 아 저도 봤어요ㅎㅎ
P0 	: 지금은 막혔다던데ㅎ
P0 	: 취소는 제대로 되고 있나 몰겠네요ㅋㅋ
P1 	: 어 안되는데요
P1 	: 저 샀는데요
P0 	: 엇 아직 취소 안됐음
P0 	: 대기업이니 걍  마케팅 셈치고 보내줄 수도?
P0 	: 언니도 간밤에 뭐 샀댔거든요
P1 	: 소불고기 가즈아
P0 	: 저는 귀찮다고 뒹굴하다 확인하니 끝ㅎ
P1 	: 근데 전 쿠폰만 미리 받고 오늘 결제함ㅋㅋ
P1 	: 흐음
P0 	: 오오 소불고기 좋군요ㅋㅋ
P0 	: 미리받은 쿠폰은 안 바뀌나 봐요!
P0 	: 잠만요
P0 	: 아 언니는 올반 우삼겹 샀댔어요ㅎㅎ
P0 	: 우삽겹 전골 가즈아~
P0 	: 저도 일단 쿠폰 받아두는건데 원통
P1 	: 올반 우삼겹은
P1 	: 어제 밤부터 매진이었습니다
P1 	: 언니분 얼리버드시네요
P0 	: ㅋㅋ 핫한 제품인가요ㅎ
P0 	: 언니가 카톡한게 새벽 1시였네요
P1 	: 언니는 클릭 한번에 우삼겹을
P0 	: &name2&도 위너잖아욧!
P0 	: 늦게 일어났는데도 벌레를 잡다니ㅂㄷㅂㄷ
