# FILE DATA
ID : MDRW2100034587
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 와우 속상하고 마음이 아프군요
P1 	: 동시에 궁금합니다
P0 	: 그분과 저만 그 팀의 여성인데, 그말인즉슨 남초지요
P0 	: 다 있는데서 여성들끼리만 하는 일상적 대화를 대놓고 하신다던가..
P0 	: 뭐 월경이나
P0 	: 상의 속옷과 관한 것이나
P0 	: 자기 사이즈는 ××컵인데
P1 	: 하하
P0 	: 그럼 그것보다 큰 사이즈는 얼마나 힘든것이냐
P1 	: 아니 부끄러울 일은 아니지만 왜 굳이
P1 	: ??
P0 	: 월경 기간에는 꼭 꼬옥 꼭 티를 내십니다
P1 	: 와
P0 	: 부끄러운일은 아니지요 근데
P0 	: 생리휴가 받는것도 아닌데 필요없다고생각해요
P1 	: 근데 원하지 않는 &name1&님을 그 대화에 끼워넣고
P1 	: 얘기를 이어가면 그것도 폭력이쥬
P1 	: 다른 직원들은 못들은척 하나요?
P0 	: 특히 40대가 그 그룹 왕고고 나머지 남자들은 20대 초중반 30대 초반이면
P0 	: 20대 초반 남자들은 좀 부끄러워하죠
P0 	: 30대쯤 되면 짬이 있어서 아무렇지 않은듯 대해줍니다ㅋㅋ뭐 좀 힘들시겠다던가 약을 드시라던가
P1 	: 아휴
P0 	: 저는 듣는게 아무렇지 않은데 그 이야기를 듣는 어린 남직원들이 부끄러워하는걸 즐기시는게 아닌가..싶은
P1 	: 그 부끄러워하는 남자들이 주로 아들같아지는 대상이겠어요
P0 	: 그죠ㅋㅋㅋ정확하십니다
P1 	: 왜.. 왜죠 정말
P0 	: 남직원들 30대쯤 되니까 그런거 쿨스루 하거든요 그럼 쿨스루 한다고 '난 안전한 여성이니 아무렇지 않은 이야기인데 뭐!!'더 이야기하시죠ㅋㅋ
P1 	: 직장내 괴롭힘입니다 ㅜㅜ
P0 	: 그러게요.. 그분이 워낙 어릴때 입사해서 진짜 고인물중에 고인물이시라
P0 	: 제가 입사하고 옆에서 몇년간 진짜 많이 그문제로 왈왈 거렸거든요
