# FILE DATA
ID : MDRW2100042084
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 블투이어폰 이제 살때가 된거같아여
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ넵
P1 	: 근데 좀 값이 나가서 중고로 사야겠어요ㅜㅜ
P1 	: 에어팟..이나..ㅎㅎㅎ
P0 	: ㅜㅠㅠ 좀 비싸진 것 같긴 해요ㅠ
P0 	: 나중에 할인할때 사야겠어요....
P0 	: 언제였지
P0 	: 원래 삼성 9월인가 10월에 크게 세일하지 않았나요?
P1 	: 아 진짜요????!!
P1 	: 헐.....ㅠㅠㅠㅠㅠ
P1 	: 갤탭샀는데 좀만 기달릴걸....
P1 	: ㅠㅠㅠㅠㅜㅜ
P1 	: 그때 기다리다가 버즈 노려야겠네요
P0 	: 저도요ㅠ!!
P0 	: 갤탭은 잘 사용중이신가요?
P1 	: 네~!!
P1 	: 좋아요
P1 	: 탭 글씨쓰는게 너무 좋아요ㅎㅎ
P1 	: 화질은 별로..ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ혹시 필기하시나요?
P0 	: 어떤 어플 사용하세요~?
P0 	: 전 삼성 노트 쓰는데 다른게 궁금하네요ㅎㅎ
P1 	: 앗 저도 삼성 노트요
P1 	: ㅎㅎㅎㅎ
P1 	: 다른거 안써요ㅎㅎㅎㅎ
P1 	: &name1&님도 탭 있어요?
P0 	: 넵ㅎㅎ!! 갤탭 있어요!
P0 	: 근데 거의... 유튜브 보는 용도로만 써요ㅋㅋㅋㅋㅋㅋ
P1 	: 오!!!
P1 	: 어떤거 있어요??
P1 	: 최근에 사셨어요?
P1 	: 저도 그래요ㅜㅜ
P0 	: 저 80만원짜리 샀는데 뭐였는지 까먹었어요ㅠ
P0 	: 비싸게 주고 샀는데 하는게
P0 	: 유튜브 시청 정도....ㅋㅋㅋㅋㅋㅋ ㅜㅠㅠㅠㅠㅠ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 저도요
P1 	: 저도 90마넌 넘게..
P0 	: 그래도 이번 학기는 필기라도 열심히 하려구요ㅋㅋㅋㅋㅋ
P1 	: ㅜㅜㅜ
P0 	: 헐
P1 	: s7+샀어요
P0 	: 더 좋은 제품이군요!!
P1 	: 파이팅!!
P0 	: 넵!! 강의 들으면서
P0 	: 필기하려고 합니다ㅎㅎㅎ
