# FILE DATA
ID : MDRW2100038549
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ이게 제편하고자하는게 더커서 운동이라고하기에 좀민망하네여
P1 	: 그래도 지지하고 응원해요
P0 	: 에이 이제는
P0 	: 여자는... 그냥 죽지않고 살아있는 거 자체가
P0 	: 페미니즘 같아요 ㅋㅋㅋㅋㅋ
P0 	: 하도 툭하면
P1 	: ㅋㅋㅋㅋㅋㅋㅋ맞아여
P0 	: 사건사고가 끊이질 않으니...
P1 	: 우리 꼭 자연사해요
P0 	: 맞아요 진짜...
P0 	: 따흑 벅차오르네요 감정이!
P0 	: 근데 저 여기서 만나는 여자분들 대부분
P1 	: ㅋㅋㅋㅋㅋ네네
P0 	: 저희랑 같은 생각 갖고계셔서
P0 	: 정말 좋았어요 ㅋㅋㅋㅋ
P1 	: 그쳐 ㅋㅋㅋㅋㅋㅋ2030대여성분들많으시더라구여
P0 	: 맞아요 맞아요
P0 	: 그래도 다들 본인의 건강부터
P0 	: 챙길 줄 아는 분들 같았어요
P1 	: 다들 이제 미용보다 운동 건강
P1 	: 네네 ㅋㅋㅋㅋ
P0 	: 맞아요!!!
P1 	: 그래서 저도 많이 자극받고 운동해야지생각했어요
P0 	: 저도요!!!!
P0 	: 그 뭐지 그 채널
P0 	: 샤크코치
P0 	: 거기 영상도 가끔씩 보는데 ㅎㅎㅎ
P0 	: 운동뽐뿌 오더라구요
P1 	: 알져알져
P1 	: 진짜 몸보고 와우
P0 	: 와 아시는구나~~~
P0 	: 네네네
P0 	: 에리카님이랑 ㅋㅋㅋ 넘 보기 좋아요
P1 	: 대단하시다고생각해여
P1 	: 저몸..갖고싶다..
P0 	: 지구력이 엄청날 것 같아요,,,
