# FILE DATA
ID : MDRW2100001373
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20210804
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>연인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 하이~
P0 	: 두부나 그런건 어디가나 비슷한데 그냥 근처와서 사지 ㅎㅎ
P1 	: 하이는 뭐야 ㅋㅋㅋㅋㅋ
P1 	: 난 야채 살라고 했던거지 ㅋㅋ
P1 	: 야채가 여기가 좋잖아
P1 	: 두부랑 딸기쨈 조그만거 샀는데 만원이 넘네
P1 	: 뭔 물가가
P0 	: 딸기잼이 얼만데??
P0 	: 4~5천원정도 아냐?
P1 	: {share:photo}
P1 	: 퇴근
P0 	: 국산콩두부... ㄷㄷ
P1 	: 현관비밀번호
P0 	: ㅇㅋ
P0 	: 아닌디?
P1 	: {share:photo}
P1 	: 모가 아니야?
P0 	: &num& 아닌디
P1 	: 아 내가계부네ㅋ
P0 	: ㅡㅡ
P1 	: 잘못보냄ㅋ
P1 	: 이건 롯데마트 포함안된거임
P1 	: 롯데마트 넣어서 자기한테 보내준다는게 잘못보냈네
P0 	: 이중장부야? ㅋㅋ
P1 	: 농협카드는 사용하면 카톡와서 좋네
P1 	: 왜 이중임?
P1 	: 내 생활비
P1 	: 우리 생활비
P0 	: 농협카드... 몰래 못쓰겠네 ㅋ
P1 	: 모가 이중?ㅋ
P1 	: ㅋㅋ 잡았다 요놈ㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 요놈? ㅋㅋ
P1 	: 왜 그거 있잖슴?
P0 	: &name3& ㅋ
P1 	: {share:photo}
P1 	: 응 이거ㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: &name3&씨 귀여우지ㅋ
P1 	: 언니는 뭐가 맘에 안드는지 엄청 짜증이난 상태임ㅋ
P0 	: 근데 가계부는 비용쓰고나면 매번 보내주게?
P1 	: 병실이 맘에  안드나봐
P1 	: 아니ㅋ
P0 	: 왜??
P0 	: 몇인실인데?
P1 	: 초반이니깐 보내주지ㅋ
P1 	: 일주일에 한번이나 한달에 두번정도 보내지 않을까?
P1 	: 5인실
P0 	: 왜 맘에 안든대?
P1 	: 맨날 1인실 쓰다가 5인실가니 짜증난데ㅋ
P1 	: ㅣ인실 가랬더니 말읍네ㅋ
P0 	: 맨날 1인실?? 언니 입원 자주했어?
P1 	: 거기 1인실 하루에 오십만원임ㅋ
P1 	: 애들ㅋ
P1 	: 애기들 입원하면 대부분 1인실
P0 	: 에휴~ 애들은 1인실 보내면서 부모는 5인실 가고... ㅠㅠ
P1 	: ㅋㅋ 원래 그런것이여
P1 	: 애들은 밤에 못자고 칭얼거리는 애있음 다같이 못자는거여
P0 	: 코고는 어른있음 다같이 못자는거여
P1 	: 난 잘자
P1 	: 자기 옆서도 잘자자너
P1 	: 나도 내가 참 대단
P0 	: 그러면서 사부작사부작 발소리엔 깨
P1 	: ㅋㅋ  신기하쥬?
P1 	: {share:photo}
P1 	: 휴가철이라 배송이 늦데ㅠㅠ
P1 	: 원래는 일주일인디
P0 	: 배송날짜 왜 상관없지??????????????
P1 	: 자기가 집에 있으니깐ㅋ
P0 	: 안받아
P1 	: 자기찬스!
P0 	: 맘엔 안들어
P1 	: 왜유~
P1 	: 안되유~~
P1 	: {emoji}
P0 	: 가성비가 안좋아~ 비싸기만 하고
P1 	: 모래
P1 	: 이뻐
P0 	: {emoji}
P1 	: 이쁘고 튼튼하면 장땡이야
P0 	: {censored}
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아무말이나 막 할거임?
P0 	: 아무말대잔치 아녀? ㅋㅋㅋ
P1 	: 아니거덩!
P1 	: {emoji}
P0 	: {emoji}
P0 	: 예~~~
P1 	: {emoji}
P0 	: 다 불을 뿜네 ㅋ
P1 	: ㅋㅋ
P1 	: {share:photo}
P1 	: 환불한다했음
P0 	: ㅇㅇ
P0 	: 딴데서 주문할꺼야?
P1 	: 응 다른데 한번 알아봐야겠어
P0 	: 만약 새로 제작해야하는거면 사이즈 알려줘서 제작하던가~
P1 	: 일단 함보자
P1 	: 커텐 온다고 좋아라했는디
P0 	: 환불신청할게요~ 했자네
P1 	: 환불하라며?
P0 	: ㅇㅇ그려~ 
P1 	: 아님 교환해?
P0 	: 알아서혀~~~
P1 	: 아님 사이즈 맞는걸 찾던지 주문제작하던지 하자
P1 	: 일단 여긴 아닌걸로
P0 	: ㅇㅇ
P1 	: 벌써 복정이다
P0 	: 앉았어?
P1 	: 정신줄 놓음정거장지나것다
P1 	: 아니
P0 	: ㅇㅇ 조심히와
P1 	: 그때 한번 앉고 앉은적이 읍엉
P1 	: 사람 많아
P0 	: 어느정도?
P1 	: 양쪽으로 서있는?
P0 	: 글쿤
P1 	: 서있는줄이 2줄
P1 	: 그땐 앉은 사람이 내려서 앉은거
P0 	: 누가 미리 내릴지 잘 선택해야겟네 ㅋㅋ
P1 	: 그거알면 내가 무당이닷
P0 	: 잘 살펴보면 확률은 높일 수 있지~
P1 	: 어떤걸보면?
P0 	: 안내방송이 나올때 어느역인지 살펴본다던가~
P1 	: ㅋㅋ
P0 	: 가방이나 소지품을 챙긴다던가
