# FILE DATA
ID : MDRW2100037830
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저녁 드셨어요?
P1 	: 지금 막 먹었어요
P1 	: &name1&님은요?
P0 	: 저두 지금 먹구 복숭아 먹고 있어요 ㅎㅎㅎ
P0 	: 있는 반찬에 소세지 구워서 케찹찍어먹었는데 오랜만에 먹으니까 맛있어여 ㅋㅋㅋㅋ
P0 	: 무슨반찬에 드셨어용?
P1 	: 총각김치랑 김치전이요ㅋㅋㅋ
P1 	: 김치만 먹었네요
P0 	: 엌ㅋㅋㅋㅋ
P0 	: 김치매니아 등극...ㅋㅋㅋ
P0 	: 집에 있으면 배추김치 열무김치 파김치 오이소박이...
P0 	: 김치로만 가짓수차지하더라구요
P1 	: 우와, 대단한대요
P1 	: 다 담그신거에요?
P0 	: 아니옄ㅋㅋ 아... 저희엄마가..? ㅋㅋㅋㅋ
P0 	: 김치종류가 늘 많아요.. 저는 먹을게 없어보이는데ㅜㅜ 저희부모님은 너무나 잘 드시는ㅋㅋㅋㅋ
P0 	: 좋아하는 김치종류 있으세요?
P1 	: 음.. 김치 종류는 크게 안가리는데요
P1 	: 신김치보단 생김치?를 더 좋아해요
P1 	: 특히 김장날 막 무친 김치 집어먹는거 최고! ㅋㅋ
P0 	: 겉절이!!!!
P0 	: 샤브샤브에 겉절이 먹는거 정말 좋아해요! ㅋㅋㅋㅋㅋ
P0 	: 등촌 샤브 좋아하세요?
P1 	: 와, 최고죠
P1 	: 등촌 샤브는 안가봤어요
P1 	: 샤브샤브 좋아하는데
P0 	: 저 여기 겉절이랑 샤브먹는거 너무 좋아여... 칼국수랑{emoji:♡}
P0 	: 
P1 	: 칼국수에 겉절이 최고죠
P1 	: 등촌 샤브라는 곳이 겉절이가 맛있나봐요
P0 	: 샤브도 맛있어요 ㅋㅋㅋ
P0 	: 여기 샤브랑 겉절이 같이먹는걸 좋아해요
P1 	: 오오, &name1&님 맛집리스트인가봐요
P1 	: 전 학교 근처에 있는 샤브집이
P1 	: 어바웃샤브라서 거길 젤 많이 가봤어요
P0 	: 저희 동네에 있는 곳인데 요기 체인 엄청많아요 ㅎㅎ
P0 	: 저희엄마 힐링푸드여서 학생때부터 따라갔었는데 저희동네 샤브집 볶음밥이 유달리 일품이에요 ㅎㅎㅎ
P0 	: 다른지점갈거 거기가서 먹구 그래요!
