# FILE DATA
ID : MDRW2100015166
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음 전 좀 확확 바뀌는 편인데
P1 	: 최근엔 와이드 연청에 꽂혀서
P1 	: 흰 반팔이나 크롭?
P1 	: 반팔 니트도 많이 입어요
P1 	: 니트류를 좋아해가지구
P0 	: 오
P0 	: 자신있으신가봐요
P0 	: 체형 별로면 입어도 태가 잘 안사는데
P1 	: 와이드청바지요???
P0 	: 크롭티랑 반팔니트요
P1 	: 아
P1 	: 니트는 모르겠지만
P1 	: 크롭 입을 땐 배에 힘주고... 걸어야져..
P1 	: 죽을 것 같아요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㄱ
P0 	: 예전엔 저도 옷좀 힘주고 다닌다고
P0 	: 맨날 코트에 블루종 오버니트 엄청 사서
P0 	: 입고다녔는데
P0 	: 취준생되고 몸관리 안되니까
P0 	: 무조건 검정색ㅋㅋㅋㅋㅋ
P0 	: 무조건 트레이닝복
P1 	: 맞아요 그리고 요즘 코로나때문에 ㅠㅠ
P0 	: 셔츠 예전꺼 입었는데 팔이 터졌어요ㅋㅋㅋㅋ
P1 	: 혹시 근육이 붙으신 건 아닐까 생각해봅니다
P0 	: 반팔니트도 이게 체형 별로인 사람이 입으면
P0 	: 약간 뭐라해야되지
P0 	: 가방이 걸어다니는것같은느낌?
P0 	: 2년사이에 10키로가 쪄버렸어요...
P1 	: 제가 바로 그 가방입니다
P1 	: 전 고3때만 7키로 쪘었는데..
P0 	: 뭔가 살찌니깐 옷 사기가 싫어요
P0 	: 난 살 빼고 옷살건데
P0 	: 이건 진정한 내가 아닌데
P0 	: 이러면서ㅋㅋㅋㅋ
P1 	: 저랑 똑같네요..
P1 	: 지금 학교 졸업하셨어요??
P0 	: 네 작년에 졸업하고 취준하는척 놀먹하고있네요
P1 	: 전 곧 복학인데
P1 	: 속이 울렁거려요
P0 	: 어이구
P0 	: 학교는 멀어요?
P1 	: 학교 좀 멀어요..ㅠㅜ
P1 	: 근데 비대면이라
P0 	: 오 서울권이신가봐요
P1 	: 학교 가기 싫기도 한데
P1 	: 가야될 것 같기도 하고
