# FILE DATA
ID : MDRW2100032781
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 앜ㅋㅋㅋ 그니까여
P0 	: 슬기 참... 착해
P1 	: 진짜 저 아이돌 안 해서 다행이다..
P1 	: 매장이다 아니면..
P0 	: 인정이여
P0 	: 저 인성논란 떴을듯여
P0 	: 그거 저 알아요 재현이 스탭한테 90도 인사하고 다닌거
P1 	: ㅋㅋㅋㅋㅋㅋ저두 인성논란 뜨고 울면서 인스타 댓글창 다 막아놓는 거 예상됩니다
P0 	: 와 저는 글케 못해서 찍힐듯요
P1 	: 아 우리 재현이..ㅠㅠㅠㅠ
P1 	: 진짜
P0 	: 인스타가 머야... 전 계파할듯요ㅠ
P1 	: 어떻게 그렇게... 전 체력부터가 글렀어요
P0 	: 그니까요 아 재현이 하니까
P0 	: 드라마 무산된거 생각나네요 하 진쫘
P1 	: 저 진짜
P0 	: 개 @@@@하내요 개 기대했는데
P1 	: 할말 많은데 다 제한될까바
P1 	: 참고잇는디
P1 	: *##*×{emoji:♡}~{emoji:♡}
P0 	: 아 너무 웃겨 ㅋㅋㅋㅋㅋ
P1 	: 진짜 그때 게다가 ..
P0 	: 근데 저 진챠 기대햇다고요~~~
P0 	: 왜냐 잘생겻자나용...
P1 	: 애들 일본앨범 뮤비도 준비하고... 느공느공도 준비하고..
P1 	: ㅈㄴ 바쁠때였거든요..
P1 	: 근데도 가서 드라마 꼬박꼬박 찡어서 애 얼굴이 반쪽이 됐는데..
P1 	: 걀국..^^
P0 	: 큰화면으로 풀샷 줌 땡겨서 모공까지 싹싹 hd로 보여주려면 드라마 주연이 딱인뎅
P1 	: ㄹㅇ 졸라잘생겼어요진짜..
P0 	: 아아악 진짜 넘 짜증나시겟어여
P1 	: 저 원래 그 상대 여자분도
P1 	: 사건 터지기전엔 좋아했어서
P0 	: 아니 근데 진짜 저 솔직히 말해서 웬만한 잘생김과 예쁨 아니면 잘 안들어와요
P1 	: 더.... 열받았어요..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ근데 우리 재현이를?!?!?
P0 	: 아 인정이여ㅜㅜ 둘다 얼굴합 세상 좋았는데ㅠㅠ
P0 	: 솔직히 여자분도 이쁘셔서 제 맘에 저장해두고 그랫는데
P0 	: 휴 넘 할말이 많네요
P1 	: 걍 똥을 아주 쏴악 뿌려놓으셨어요..
P0 	: 케이팝 살려ㅠㅠ
P1 	: 진짜 케이팝 어쩜좋아요..
P0 	: 아아 정말... 필름이라도 어케 살려보면...
P0 	: 넷플에라도 풀면...
P0 	: 안되려나요
P1 	: 근데 또 저는 .. 걍 덕후의 피가 흘러서 팝니다(?)
P1 	: 사실 정말 보고싳어요
P0 	: 그쳐
P1 	: 재혀니...사랑에 빠진 그의 눈빛...보고싶다
P1 	: 너무 광기어렸나요
P0 	: 넷플에라도... 요즘 마니 선공개하자나용 흑흑
P0 	: 아뇨
P0 	: 멀쩡하신데용
P1 	: 긍까요 좀 모르는 척 풀어줘도 됐는데 ㅠㅠ
P1 	: 디어엠은...걍...천불밖에 안나는것같아요
P0 	: 디어엠 내놔...
