# FILE DATA
ID : MDRW2100007171
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 판타지 장르 좋아하세요?
P0 	: 영화요!
P1 	: 앗 네 ㅎㅎ
P1 	: 저는 평범하게 해리포터 좋아하고
P1 	: 또 판타지에 뭐가 있을까요 ㅎㅎ
P0 	: 저는 트와일라잇도 좋아했고 디즈니실사화 영화도 좋아했었어요!
P0 	: 해리포터는 언제봐도 재밌죠 ㅠ
P1 	: 와 저 어제 왓챠로 트와일라잇 시리즈 좋아하는 장면들 또 봤어요
P1 	: 저는 그 시리즈는 유독 트와일라잇이랑 브레이킹던 딱 이 둘만 계속 보게 돼요
P1 	: 중간 시리즈의 삼각 구도가 별로 취향이 아니에요 ㅋㅋㅋ
P0 	: 아 맞아요 ㅋㅋ 트와일라잇이 그 어둑한 분위기가 좋아서
P0 	: 저도 그 편을 자주보게되더라구요 ..
P0 	: 시리즈는 초반이 젤 재밌어요
P1 	: 해리포터도 마돌 특유의 그 분위기가 참 설레지요 ㅎㅎ
P1 	: 저 디즈니 실사화도 좋아하는 게 많은데
P1 	: 얘기 하려고 보니 극장 영화 관람이라길래....
P1 	: 어 근데 크루엘라 봤어요 최근에
P1 	: ㅎㅎㅎ
P0 	: 크루엘라 저도 영화관 가서 봤어요!
P0 	: 진짜 재밌게 봤어요
P1 	: 어떤 의상 젤 기억에 남으세요?
P1 	: 저는 스레기 드레스가 가장 좋았어요 ㅎㅎ
P0 	: 저도 그 드레스 좋았어요 뭔가 압도하는 분위기가 있었거든요
P0 	: 저는 그 파티갔을때 불타면서 색상바뀌는 드레스요
P1 	: 와 그것도 맞아요
P1 	: 헝거게임 첫 편에서 불타는 드레스도 생각나고 그랬어요
P0 	: 진짜 좋았어요.. ㅠ
P0 	: 혹시 최근에 개봉한 올드 보셨나요?
P1 	: 그건 제목도 처음 들어보네요
P1 	: 아아
P1 	: 정글크루즈 상영전 예고로 봤던 거네요
P1 	: 재밌나요?
P1 	: 소재는 신선하던데
P0 	: 소재가 신선해서그런가 저는 재밌게봤어요
P0 	: 근데 재미없다는 사람들도 많더라구요..ㅋㅋ
P1 	: 오 궁금해지네요
P1 	: 영화관 거리두기에 익숙해지니
P1 	: 예전의 그 꽉 찬 영화관으로 어떻게 돌아가나 싶어요
P1 	: 팔걸이 다 맘대로 쓰니 넘 편해요 ㅋㅋㅋ
P0 	: 저도요 영화관에 사람없으니 너무 좋아요
P0 	: 예전에 꽉찬 영화관에서 어떻게 봤나싶어요..
P1 	: 공연장도 그렇고 영화관도 그렇고
P1 	: 업계에선 무척 힘들겠지만 보는 입장에선 또 그건 참 좋아요
P1 	: 팝콘 먹는 소리도 안 나고
P0 	: 맞아요 훨씬 집중도 잘되고 편안하게 감상할 수 있더라구요
P1 	: 아 근데 저는 요즘도 영화관 아쉬운 게
P1 	: 볼품없는 티켓 ㅠㅠ
P1 	: 어렸을 때처럼 제대로된 티켓이었으면 좋겠어요
P1 	: 지금도 그리워요
P0 	: 종이티켓느낌이 있는데 아쉬워요 ..ㅠ
P0 	: 요즘 메가박스에서 가끔씩 티켓 예쁘게 나오더러구요 그래서 그거 모으는 편이에요..!
P1 	: 오리지널 티켓? 그런 건가요? 들어만 봤는데
P1 	: 예쁜 티켓 좋아요 공연전시도 구린 인터파크 그림 대신 예쁜 거면 모으는 맛이 더 있더라고요 ㅎㅎ
P0 	: 네 맞아요..!
P0 	: 티켓예쁘면 더 기억에 남더라구요ㅎㅎ
