# FILE DATA
ID : MDRW2100033875
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 네네!
P1 	: 그 추석이후에 예약된사람들
P0 	: 추석 이후에 백신 맞으면
P0 	: 어케돤대요???
P1 	: 다시 6일 이후로 가능할 수 있게끔 뭐한다고 하던데요?!?!?!?!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔 추석이후에 백신 맞으면 더 건강하겠죠!!!!!
P1 	: 잘먹으니까!!! 씁 송편 베리 굿.
P1 	: 녀미~~^^
P0 	: ㅇㄴ ㅋㅋㅋㅋㅋㅋㅋㅋ쓰읍..6일 이후가 뭐지..?
P0 	: ㄹㅇ 백신 걍 맞게해주면 맞고 맞지말아면 안맞는
P0 	: 말 잘듣는 시민이라..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅇㄴ &name2&님 &name2&님 저 잠만 운동 1시간만 하고 올게요 그때 놀아줘야해요
P1 	: 당연하죠
P1 	: 갔다오시라공ㅅ 운동 화이핑
P1 	: 화이팅
P1 	: 아좌좌~~~~!!!
P0 	: 파이...팅..(
P0 	: 아효 비만 극복하고말겎다고요
P1 	: 님 파이팅이라구요~~~!!
P1 	: 힘들죠 운동,,,
P0 	: 예아...엉엉....
P0 	: 운동하고 나니 활발함을 잃어부럿어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔!!!
P1 	: 님 거기 비오지않아요? 비뚫고 갔다는게 정말 대단한거잖아요
P1 	: 님은 이미 오늘의 잘한일 한개를 달성했다,,
P0 	: 감삼다..감삼다..
P0 	: 운동 하는데 왜..아프지..?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: &name2&님은 건강하셔야된다구요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ운동하면 몸이 더 아프지 않나요?
P1 	: 분명 건강해지려고 운동하는데 두들겨맞는느낌...
P1 	: 님이야말로 건강하셔야한다구요!!!!!!
P0 	: 맞아욬ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: &name2&님 오래 보자고요
P1 	: 님
P1 	: 그 백신맞고 소화잘되는음식드세요
P1 	: 저 지금 식도염와서 흉통때문에 헷갈려요 아놔
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 달렸더니...몸이...반항을?
