# FILE DATA
ID : MDRW2100027658
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 고튀? 고구마튀김?
P0 	: 곷튀김?
P1 	: 19 좋아하시나
P1 	: 고구마튀김오
P1 	: 요
P0 	: ㄱ,ㅊ튀김 있는데 실제로 ㅠ
P0 	: 이상한사람,,
P0 	: 절 그렇게보다니 실망이에요
P1 	: 꽃우튀김 그 머야 안동
P1 	: 안동 시장가서 엄청 맛있게 먹음
P1 	: 8월중순에
P0 	: 저는 그 파프리카 이런류 안좋아함
P0 	: 피망
P0 	: ㄱㅊ
P1 	: 왜요?
P1 	: 아삭아삭이 싫은건가
P0 	: 맛이싫음
P1 	: 파프리카 노랑색 쌈장 딱 찍으면
P1 	: 살살녹는제
P0 	: 으,,,노노
P0 	: 쟤네셋만 나는 냄새가있음
P1 	: 그 채소국물 그런 냄새?
P0 	: 뭐라말해야하지
P0 	: 비린내?
P0 	: 설명하기어렵
P1 	: 양배추는요
P1 	: 비린내라..
P0 	: 두꺼운부분안먹음ㅋㅋㅋㅋㅋ
P0 	: 얇은부분만먹음ㅁ
P1 	: 양상추는 샐러드 기본이니 다 드실거고
P1 	: 브로콜리는요
P0 	: 초고츄장 듬뿍찍으면
P0 	: 머리만먹음ㅋㅋㅋㅋㅋ
P0 	: 줄기안먹
P1 	: 뭐지, 이사람
P0 	: 왜요
P0 	: 까다롭죠
P0 	: 그래서엄마가 엄청뭐라함
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 브로콜리 머리랑 줄기랑 성분 같은데
P1 	: 김치는요?
P0 	: 김치는 잘먹
P0 	: 아 겉절이안먹
P0 	: 묵은지만먹음
P0 	: 푹 익은거
P1 	: 헐 것절이 죤맛인데
P1 	: 묵은지 그 신거요??
P0 	: 신것만먹음
P1 	: 와
P1 	: 과거의 나 아니네
P0 	: 거진 썩,은것만먹음
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 안먹는거많아서
P0 	: 밥먹으러갈때 메뉴결정하기 힘들어함ㅋㅋㅋㅋㅋ
P1 	: 쉬어 꼬부라진거 김치만 먹는다니
P0 	: 그런게김치죠
P1 	: 그정도라니
P0 	: 칼국수 우동 안좋아함
P1 	: 식성 개조가 좀 필요하시네
P0 	: 두꺼운면
P1 	: 라멘은요
P0 	: 라멘도 별로
P0 	: 일본이랑 나랑 맞는건
P0 	: 타코야끼랑 회밖에없음
P1 	: 힘들게 사시는구나..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 토종한국인인듯
P1 	: 여행 해외 안나가봣댓죠?
P0 	: 어렷을때 말곤안갓숨
P1 	: kt 5g 왜케 불안하지
P1 	: 안터짐
P0 	: 전 lte씀
P1 	: 여행가면 식단 때문에 고생좀 할듯요
P0 	: 5g잘안터진대서
P1 	: 대전 5지 안터짐?
P0 	: 아직까진그렇다고하는거같아서
P0 	: 안바꾸는중ㅋㅋㅋ
P1 	: 거 서울 놀로오면 5지 쓰고 그러세요
P1 	: 체감이 다름
P0 	: 그정도임?
P0 	: 이제서울갈일없음
P0 	: 남친도 본가로내려와서 ㅋㅋㅋㅋ
P1 	: 아 두분다 대전러셧군
P1 	: 대만이 님에게 딱 맞겠네요
P1 	: 해산물 흘러넘치는데
P0 	: 갔었어야했는데 쩝
P1 	: 일본+중국이라
P0 	: 오 고구마도마왓던데
P0 	: 오감자가 젤맛잇음
