# FILE DATA
ID : MDRW2100027485
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저컴터사는데 지금
P1 	: 홍철없는 홍철팀입니당
P0 	: &name2&은 효율성을
P0 	: 중요시하시는 것 같아요!
P0 	: 아 ㅋㅋㅋㅋㅋㅋㅋ 너무 웃겨요 홍철 없는 홍철팀 맞는 말이네요
P1 	: 본체만 사면끝인뎅
P1 	: 맞아요
P1 	: 게임이야 머든 다 돌아가니..
P0 	: 게임을 정말 좋아하시네요!
P0 	: 어떤 사이트 통해서 구매하시나요?
P1 	: 저는 친구가 견적맞춰줘서
P1 	: 삽니당
P1 	: 오버시스템에서 맞췄어요
P0 	: 좋은 친구를 두셨네요!!!
P0 	: 오버시스템이라...
P0 	: 생소하지만 많은 걸 알게되네요 ㅎㅎㅎ
P1 	: ㅋㅋㅋㅋ 다나와도있고
P1 	: 여러싸이트 있는거같아요
P1 	: 저도 여러게에서 맙춰보고했어요
P0 	: 오오 가격비교는 역시 여러 군데에서 해야죠!
P0 	: 저는 텐바이텐에서 광고 메일이 왔길래
P0 	: 구경하는데... 요즘은 키보드도 정말 예쁘게 나오네요?
P1 	: 맞어요 저는그냥엘이디있는 블랙으로 샀어요 ㅋㅋㅋ
P0 	: &name2& 역시 시크하시네요!
P0 	: 제 친구들은 아주 그녕
P0 	: 그냥
P0 	: 알록달록한거 사더라구요 ㅋㅋㅋㅋ
P1 	: 저는 흰색사면 관리못해서 안대요
P0 	: 흰색은 옷이든 물건이든 관리하기 힘든거같아요 ㅎㅎ
P1 	: 맞아여 흰색땀흘리먄
P1 	: 누래지는거 최악..
P0 	: 맞아요!!!!!
P0 	: 운동화도...
P1 	: 그래도
P0 	: 근데 저는 왜이렇게 하얀 운동화가 좋은지!!!
P1 	: 운동화는 빨수라도있죠
P0 	: 앗 그러네요
P1 	: 옷엧노랑은
P1 	: 전맨날웁니다
