# FILE DATA
ID : MDRW2100003615
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아무래도 아침은 잘 안먹게 되더라구요
P0 	: 아침 드세요?
P1 	: 근데 지금 저 배고파요
P0 	: 저두요ㅅㄴ
P1 	: 아침 매일 시리얼먹어요
P1 	: 출근전에
P0 	: 시리얼 맛있겠다
P0 	: 어떤거 좋아해요?
P0 	: 전 아몬드후레이크
P1 	: 저 그 그래놀라?
P1 	: 그거 집에서 사놔서
P0 	: 와우 비싼거
P0 	: 그거 맛있잖아요
P1 	: 그냥 주는대로 먹어요
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 씨리얼 눅눅한거좋아하나요
P0 	: 바삭한거?
P1 	: 좀 질린상태....
P1 	: 바삭한거요
P1 	: 아주 바삭한거
P0 	: 아무래도 바삭이 좋죠
P1 	: ㅋㅋㅋ
P0 	: 입천장까질정도로
P0 	: 그거까진 아닌가ㅎ
P1 	: 그건
P1 	: 튀김
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 바삭한튀김
