# FILE DATA
ID : MDRW2100009275
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 경기
principal_residence : 충남
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 아직 대학생이애요 ㅋㅋ ㅠㅠㅠ
P1 	: 그런데 이번이 막학기라 슬슬..
P1 	: 취업을 해야갰죠 ㅠㅠ
P0 	: 앗 글쿠나 전 작년에 졸업했어요!
P0 	: 취준하시는군요ㅜㅜ....
P1 	: 취준.. 어떤가요 ...
P1 	: 저는 벌써 마음이....흑흑
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 전...사실 취업하다 막혀서 세무사시험 준비로 돌렸답니다....
P1 	: 아아..
P1 	: 요즘 취업 너무 어렵죠 ㅠㅠ
P1 	: 경력직 신입이 어딨단 말입니가 ㅠ
P0 	: 흑흑 그니까요ㅜㅜ
P0 	: 그럴거면 돈을 경력직만큼 주근지
P1 	: 맞아여 맞아요 ㅠㅠ
P1 	: 저는 눈치보는게 제일 힘들더라고요 ..
P1 	: 인간..
P0 	: ㅇㅈ.... 전 진짜 눈치없는데 소심한편이라....
P0 	: 진짜 하루하루 피말려요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아아 느낌알아여 ㅠㅠㅠㅠ
P1 	: 저는 진짜 맨날 지적당했어요 ㅠㅠ
P1 	: 상사한테 뭐하는거 아니다 ..
P1 	: 인사 그렇개하지말라..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜.... 너무... 뭐 어떻게 해야할지 모르겟구... 하하핳
P0 	: 어려웠어요ㅠ
P1 	: 학교에서는 그래도 뭔가 척척 해냈는데 ㅠㅠ
P1 	: 사회에선 병아리 ...ㅜㅜ
P0 	: ㅋㅋㅋㅋㅋㅋ 아기죠 완전
P0 	: 사실 어리니까 좀 봐주지않을가요 ^^...
P1 	: 그래줬음 좋았을텐데^^
