# FILE DATA
ID : MDRW2100040688
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 그게 귀여워서 좋아요
P0 	: 세련된건 뭔가 그 느낌이 안나서!!
P1 	: 투는 못해봤지만 시도도하지는 않을 것 같아요
P0 	: 어렸을때부터 투를 했거든욬ㅋㅋ
P1 	: 아 처음 알았어요
P1 	: 그런데 뭔가 옹기종기한 영상이 잇죻ㅎ
P0 	: ㅋㅋㅋ 귀여워요 그래픽이 좋지 않아서
P0 	: 입장객들이 레고같은 느낌?
P0 	: 미션 성공하고 다같이 풍선 날려줄때 좋아요
P1 	: 아 표현 딱이에요 레고 같은 느낌
P0 	: ㅋㅋㅋㅋ 네
P0 	: 귀여운거 좋아하거든요
P0 	: 요즘 좋아하는 드라마나 영화 있으세요?
P1 	: 저는 티비도 없고 티빙도 해지한후로는
P1 	: 보는게없어요
P1 	: 웹툰보고
P1 	: 예전엔 아즈망가대왕이라고
P0 	: 그러시구나!
P1 	: 일본 애니 엄청좋아했어욬ㅋㅋㅋ
P0 	: 아 저 그거 본적 있어요!!
P1 	: 코난 요런거
P1 	: 종종 보고요
P1 	: 아즈망가대왕이엄청 귀여워요
P0 	: 맞아요 그래서 봤어요 ㅋㅋㅋㅋ
P1 	: 지금은 주로 뽀로로 폴리 를 접하고있어요
P0 	: 저 일본 애니메이션은 영상으로 잘 안보게 되던데 지금 말씀하신 코난이랑 아즈망가대왕은 봤어욬ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ 저 브레드이발소 완전 좋아해요
P0 	: 혹시 아시는지 모르겠는데 브레드 이발소 아시나요??
P1 	: 지금 찾아봤는데
P0 	: 키즈용인데 제 취향이에욬ㅋㅋㅋ
P1 	: 캐릭터만 봐도 느껴지는 귀여움 머죠
P0 	: ㅋㅋㅋㅋㅋ 보면 더 좋아하실거 같아요
P1 	: 내용은 모르지만 소시지 팬이될 것 같아요
P0 	: 애기랑 같이 볼 내용일까 싶긴 한데
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 전 윌크가 멍충한게 귀엽더라고요
P0 	: 멍.청아니라 멍충이에요 귀여우니까
P1 	: 눈이땡그래서 똘똘할것 같은데 아니군요
P0 	: ㅋㅋㅋㅋㅋ 전혀 아니에요
P0 	: 의외성에 놀라실거에요
P1 	: ㅋㅋㅋ아이보다 제가 먼저봐야곘어요
P1 	: 저 집에 라바 인형도 있어요
P1 	: 연애인보다 만화 캐릭터에관심이더 많은 아주미..
P1 	: 연예인..;;
P0 	: ㅋㅋㅋㅋ 라바는 안봤는데 귀엽긴 하더라고욬ㅋㅋㅋ
P0 	: 저도 캐릭터가 더 좋아요 ㅋㅋㅋㅋ
P0 	: 제 최애 캐릭터는 미피
P0 	: 귀여운거 좋아요ㅠㅠ
P1 	: 저는 고전격인 피글렛이요
P1 	: 피글렛 몸통같은 티도 사서 혼자 커플이라며 좋아하고
P0 	: 하여튼 브레드이발소는 보셔야돼요
