# FILE DATA
ID : MDRW2100040638
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 허,,
P1 	: 진짜 작정하고 봐야해요
P1 	: 울 수 밖에 없어,...ㅠㅠ
P0 	: 그니까요 그 우상궁? 죽는 순간부터
P0 	: 눈물 안 멈추지 암ㄹ나요
P0 	: 저 사실 아직도 강한나한테 앙금있어서
P0 	: 스타트업 못 봤어요
P1 	: 앜ㅋㅋㅋㅋ큐ㅠㅠㅠ
P1 	: 마자요 진짜ㅠ저도 절반부터 울었던 거 같아요
P1 	: 진짜 펑펑 울었어요
P0 	: 그 때부터 아이유가ㅜ너무 급격하게 불행해지는 것 같아서 ㅠㅠ
P0 	: 전 이준기랑 강한나 결혼하는 순간부터는
P0 	: 그냥 화면 란 보고 소리만 들었어요
P1 	: 진짜 배신감오졌죠
P1 	: 갑자기 너무 슬퍼요 어떻게 그렇게 비참하게 만드는지ㅠㅠㅠㅠㅠㅠ
P0 	: 그니까요 앞부분에 ㅋ 생일축하 노래ㅜ버르는 장면..
P0 	: 홍종현이랑 백현 친하게 지냐게 했으면서
P0 	: 작가..... 이럴 수 있냐고요
P1 	: 진짜ㅠㅠㅠㅠㅠㅠ에바예요 진짜
P1 	: 작가가 선을 넘었어요 진짜 ㅠㅠㅠㅠ
P0 	: 그니까요... 백현 죽는 장면..
P0 	: 진짜 제일 잔인하지 않나요
P1 	: 제일 잔인해요
P1 	: 몇 번을 돌려봤는지 몰라요,,,,
P1 	: 화살 진짜 내가 막아주고 싶은 심정
P0 	: ...ㅠㅠ 그니까요 전 그거랑 서현 쥭을 때가
P0 	: 제일 가금 찢어졌어요
P1 	: 아,,,, 진짜 잔인해
P1 	: 명장면이라고 꼽히는게 다 슬퍼요
P1 	: ost 도 너무 좋은데 들으면 눈물나고
P0 	: 저 그래서 원래는
P0 	: 드라마 ost 꼭 다시 ㄷ드는데
P0 	: 보보경심은 죽어도 안들어요
P1 	: 듣지마세요
P1 	: 서사가 다 생각나서
P1 	: ost 만 들어도 눈물샘 폭발 ㅠㅠ
P0 	: 흑 보보경심 중 어떤 황자 제일 좋아하셨어요!?
P0 	: 전.... 초반엔 강하늘.... 마지먹에는 남주혁..
