# FILE DATA
ID : MDRW2100042877
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 경영/관리직
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 대박 보영만두 분점 좀 가까운데에 하나 있어요!!
P1 	: 뭐가 맛있나요 찐만두? 군만두?? 쫄면은요??
P0 	: 오대박 군만두에 중간쫄면이요!!!!
P0 	: 매운거잘드시나요
P1 	: 좋아는 하는데 잘먹진 못해요 ㅋㅋㅋㅋ눈물콧물흘리면서 먹어요 ㅋㅋㅋㅋㅋ
P1 	: 중간도 맵나요?!
P0 	: 오 꽤 매운데 순한맛은 맛 없으니까 중간으로드셔요!!
P1 	: 오 네네 ㅋㅋㅋㅋㅋ 진짜 날잡고 한번 가야겠어여 저 쫄면도 진짜 좋아하거든요
P1 	: 삼겹살 먹을때도 분식집에서 쫄면 사와서 같이 먹구..
P0 	: 와 배우신분...
P0 	: 삼겹살쫄면 아시는군요
P0 	: 대패랑먹어도 맛있어요
P1 	: 비빔면은 쫄면 못따라가여...ㅋㅋㅌㅋㅋㅋㅋ
P1 	: 아 대패ㅜㅜㅜ 후 ㅠㅠㅠ 고기 땡기네요
P0 	: 아 인정합니다 쫄깃함이 다르다구요~~!!
P0 	: 밥 드셨어요?
P1 	: 네네!! 깻잎제육덮밥 시켜먹었어욬ㅋㅋㅋ깻잎듬뿍!!
P1 	: 점심 드셨나요??
P0 	: 와대박 ㅠㅠ 깻잎제육 진짜맛있겠다
P0 	: 파는거예요???
P0 	: 네 저도 볶음밥 든든하게먹었어요
P1 	: 네네 ㅋㅋㅋ시켜먹었어용ㅋㅋㅋㅋ 아맞다 아구찜 볶음밥!! ㅋㅋㅋㅋ
P1 	: 밥먹고나니까 졸려요 ㅋㅋㅋㅋ휴 ㅋㅋㅋㅋ
P0 	: 어 저도욬ㅋㅋㅋㅋ 차에서낮잠잤는데 완던 꿀잠
P0 	: 퇴근하고싶어욬ㅋㅋㅋ
P1 	: 아ㅠㅜ 차에서 한숨 자는거 부럽네요 ㅠㅠ
P1 	: 뚜벅이는 저리에 앉아서 잠깐 졸았습니다 ㅋㅋㅋㅋㅋ
P1 	: 걍 목베개가져다놓고 잠깐 좁니다 ㅠㅠ
P0 	: 앜ㅋㅋㅋ 휴게실은없나요
P0 	: ??
P1 	: 없어용 ㅜㅜㅜ 구린 회사.. ㅡㅡㅜ ㅋㅋㅋㅋㅋㅋ
P0 	: 저희회사도.근처에먹을곳도없고..
