# FILE DATA
ID : MDRW2100000461
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 기타 사회 생활 및 활동>동호회/봉사 단체

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기능원 및 관련 기능 종사자
sex : 여성
birthplace : 경북
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 참여하는 동호회가 있나요?
P1 	: 런데이도 동호회가 될까요? 런데이밖에없네요 ㅎㅎㅎ
P0 	: 랜선으로 하시는건가요? 그것도 동호회죠!ㅎㅎ
P1 	: 넿ㅎ 랜선동호회요 박수만보내는
P1 	: &name1&님은 어떤동호회 하시나요?
P0 	: 전 사실 극극극집순이라 아직 참여하는 동호회는 없어요
P0 	: 근데 단체로 하는 운동이나 봉사활동 해보고싶다는 생각이 많이 드네요 요즘 ㅎㅎㅎ
P1 	: 아하ㅎㅎ맞아요 저도 극집순이인데
P1 	: 한번씯 혼자 러닝뛰러가면 러닝동호회같은거만들고싶은 마음이..
P1 	: 생기다가 다시 쑥사라지고 그래요ㅋㅋㅋㅋ
P0 	: 요즘 런데이 하시는분들 많아서 만들면 또 금방 만들어질거 같은데요ㅎㅎ?!
P0 	: 골때리는그녀들 혹시 아시나요? 전 그거 보고 축구 동호회 만들고싶단 생각을..
P1 	: 네 가끔 티비틀다 나오면봐요 ㅋㅋㅋㅋ재밌더라구요
P1 	: 축구에진심인 그녀들
P1 	: 눈으로만 즐겨요
P0 	: 저도 몸은 침대 위에 있고 눈과 마음으로만..{emoji:☆}
P0 	: 근데 막상 참여하면 저도 그렇게 열정적으로 하게 될것 같아서 나도 하고싶단 생각을 많이 하는거 같아요ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ전 응원롤이될거같아서 체력이 진짜 안좋아가지구
P1 	: 그 열정이 진짜 부러워요
P0 	: 그래도 런데이 하시고 계셔서 방구석에만 있는 저보단 체력 좋으실것 같은데요!!
P1 	: 이렇게살다간 조만간 저기 하늘갈것같아서요 ㅋㅋㅋㅋㅋㅋ
P1 	: 남들 걷는속도가 제뛰는속도더라구요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래도 무리하지않고 조금씩하니까 재밌어요 근데 이제 한달에 4번갈까말까하는..
P0 	: 앜ㅋㅋ저도 그럴거 같아요..
P0 	: 한번 나가서 운동하면 개운하고 성취감도 느끼는데 나가기까지의 과정이 정말 힘든것 같아요ㅋㅋ 그래도 꾸준히 하시는 모습 대단하다 생각합니다
P1 	: 맞아요 과정이 정말...넘힘든 일단나가면 뭐라도하고오긴하는데
P1 	: 저도 이거 실천하기까지 꽤오래걸렸어요 ㅋㅋㅋㅋㅋ
P0 	: 저도 뭐라도 시작해서 체력 조금 길러보고.. 단체로 하는 운동 동호회 한번 찾아봐야겠어요
