# FILE DATA
ID : MDRW2100040819
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 일단 잘 진정시키고 함 합의를 봐봐(?
P1 	: ㅋㅋㅋㅋㅋ합의를
P1 	: 역시 위장 2개가 필요한가(?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 괜찮아 우리는 여분의 위장대신
P0 	: 비닐봉투와 락앤락이 잇다(?
P1 	: ㅋㅋㅋㅋㅋㅋ 락앤락 좀 큰걸로 가져가야겠... ㅋㅋㅋ 디저트 먹부림 짱 기대된다 크으..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 락앤락에는 모양 흐트러지기 쉬운
P0 	: 케이크나 타르트 류를 담고
P0 	: 비닐에는 마카롱이랑 빵류를 담으면 돼
P1 	: ㅋㅋㅋ 역시 많이 가본 사람의 여유
P0 	: ㅋㅋㅋㅋㅋ 엄마가 꼭 싸와서
P0 	: 그치만 혼자 도전해보는건 처음이라 좀 떨리는걸(?
P1 	: ㅋㅋㅋㅋㅋ 난 엄마가 싸는걸 본적이 있지만!
P1 	: 내가 하는건 거의 처음이지! 괜찮아 본 짬이 있으니까..둫다 잘할거야(?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ마자
P0 	: 글고 현장에서 먹는건
P0 	: 포장할 수 없는
P0 	: 고기, 대게, 초밥, 회랑
P0 	: 그릇에 담긴 퐁당 쇼콜라, 푸딩 류 디저트를
P0 	: 중점적으로 먹으면 돼
P1 	: ㅋㅋㅋㅋ 조아조아 일단 메인들을 섭렵하고 디저트 먹고..미리 예열도 해야겠다 굶다가 가면 오히려 안들어가더라고
P1 	: 고기고기 초밥초밥 크으
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅇㅇ
P0 	: 대게도 맛있대
P0 	: 고기도 양고기랑 소고기 안심이랑 갈비랑 북경오리 잇음!
P0 	: 역시 뷔페가 최고야(?
P1 	: 대게! 맛있겠당... ㅠㅠㅜ 먹을거 생각하니까 배고파지네 역시 뷔페 최고지... 퀄은 좀 천차만별이지만 5성 호텔인데 급은 있겠지!
P0 	: ㅋㅋㅋㅋㅋㅋ 맞아
P0 	: 원래 먹을 것만 잘 해결돼도
P0 	: 여행이 즐겁다구
P1 	: 여행은 먹을거랑 잠자는거 그거 둘이 다라구 맞아 근데 한번에 해결됐네!ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ아 그러네?
P0 	: 여기가 연식이 좀 돼서
P0 	: 막 세련되고 그런 맛은 아닌데
P0 	: 듣기로는 침대가 엄청 푹신하대
P1 	: 아 그래? 조아조아 난 침대만 좋으면 돼.. 물론 화장실이 넘 구리면 슬프지만 그정도는 아니겠지
P0 	: ㅋㅋㅋㅋㅋㅋ 화장실은 구조가 좀 충격적이긴 해
