# FILE DATA
ID : MDRW2100028633
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 경기
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 경남
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 오늘 다독상을 받았어요
P0 	: 아 봤어요 축하합니다
P1 	: 뿌듯해짐^^*
P0 	: 아니 시간이 어디잇어서
P0 	: 그렇개 책을 빌려볼수가잇는거지
P0 	: 난 있는게 시간밖에없는데도 책을 안읽는데(ㅋㅋㅋㅋ
P1 	: 아 그거 연구보고서 쓴다고 책 찾아서 필요한 부분만 찾고 다시 반납해 ㅋㅋㅋㅋ
P1 	: 그래서 10권 넘게 나오는 거 ㅋㅋㅋ
P0 	: 아 헐ㅋㅋㅋㅋ 그렇구나........
P0 	: 업무의 연장이잔아요 그냥ㅠㅠ
P1 	: 우리 팀 사업이라서 요즘 학술간행물... 잡지... 시리즈로 나오는 도서들도 업데이트 목록 일일이 찾아서 제출해야 함 추석 전에
P1 	: 네 맞아요 ^^... 도서관 업무도 우리팀 업무
P1 	: 연구실 사람들 다 책장 하나씩 끼고 있는 이유가 있음
P0 	: wow.........
P1 	: ㅋㅋㅋ 여기만 책장 다 하나씩 준다? ㅋㅋㅋㅋㅋ
P0 	: ㅋ ㅋ ㅋ ㅋㅋㅋㅋㅋㅋ 아오바야ㅜ
P1 	: 책장도 모자라서 책상도 더 넓고
P0 	: 난그냥 천관사복 얘기나 하려고햇는데
P0 	: 마음이아파요
P1 	: 캐비넷도 줘...
P1 	: 다 책이야........
P1 	: 아 천관사복 잘 읽었나요
P0 	: 정말 원업ㅅ이 읽으시네요....
P0 	: 아니 4권 딱 덮고
P1 	: 필요하면 말씀하세요 언제든 사줄 수 있음 요즘 후기 재밌게 보고 있어요
P0 	: 와... 정말 좋았다 이러고 잠들었는데 아침에 일어나서 갑자기 과몰입햇어요
P0 	: 하............................. 아니.........
P1 	: ㅋㅋㅋㅋㅋㅋㅋ 정말 좋았는데 아니 근데 벌떡
P0 	: 아니...........ㅜㅜ..... 서로에게 심리상담을 해주고있는게 너무
P0 	: 아니!!!! 아니!!!! 아니그 10살짜리애기가
P0 	: 하.............
P1 	: 책의 주인공에게 깊이 감정이입
P0 	: 그냥 서로가 서로를 치유해주고 있는 것 같아서 울컥해ㅛ어요
P1 	: 할 수밖에 없는 책이야 정말
P0 	: 그리고 중국소설은 다 왤케사람들이 극단적인지 모르겠어
P0 	: 땅이 커서 그런가???
P1 	: 근데 뭐라고 그러지 중국 웹소설 트렌드가 그렇대
P0 	: 다들 극단적으로 괴롭히고
P0 	: 일본과 다른방식으로 음습함
P1 	: 그나라는 홍루몽이 몇백년동안 짱먹는 나라인데
P1 	: 홍루몽 내용 생각하면 완전 이해됨
P0 	: 아ㅋㅋㅋㅋ 홍루몽.
P1 	: 임대옥을 생각하기
P0 	: 근데 홍루몽 생각하면
P0 	: 그러네......... 그렇지...
