# FILE DATA
ID : MDRW2100029167
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 자 알려주세요
P0 	: 제가 결혼하기 전 남자친구랑
	  헤어지게된 이유중의 하나도
	  너무 효자여서였던것도 있는듯해요
P0 	: 그 친구랑도 결혼 이야기까지 오가고
	  상견례까진 아니여도 거의 직전까지
	  갔었는데... 안녕했었죠
P1 	: 저랑은 다른이유지만
P1 	: 그정도까지 갔다가 헤어지는건
P1 	: 흔한가봐요
P0 	: 이래서 식장 들어가기전까진
P0 	: 모른다고들 하나 봅니다.ㅋㅋㅋㅋㅋ
P1 	: 사실
P1 	: 결혼얘기가 오가는건
P1 	: 아무것도 안한건데
P1 	: 청첩장 찍어놓고도 헤어지는 마당에
P0 	: 맞아요...  정말 그래요...
P1 	: 효자가  얼마나 효자였길래
P1 	: 헤어질생각까지 하신거에요?
P0 	: 엄마가 그 동안 키우느라
	  고생했으니 월급을 거의
P0 	: 엄마를 위해서 쓰더라구요
P1 	: 거의 엄마를 위해??
P1 	: 엄마가 아들뺐겼다고하기 딱인데
P0 	: 나이도 제가 더 많았ㅋㅋㅋㅋㅋㅋ
P1 	: 결혼 했겠죠?
P1 	: 헛 연하?
P0 	: 모르겠어요....
P0 	: 해서 잘 살고있으면 좋겠어요
P0 	: 많이 붙잡았었는데...
P1 	: 님을요?
P0 	: 네
P0 	: 아직도 미안한 마음이 많이 남아서
	  잘 살았음 좋겠어요 진심으로
P1 	: 그게 그렇게 오래 남는군요?
P0 	: 아버님도 엄청 예뻐해주셨었거든요
P0 	: 부모님께도 상처가 되었을테니
	  그것도 죄송한 마음이고
P1 	: 아 부모님도 다 만나셨었구나
P0 	: 네 ㅎㅎ 결혼 이야기 오갔다고
	  했잖아요
P0 	: 서로 부모님들께 인사도
	  드렸었어요... ㅎ
P1 	: 그럼 진행이 좀 된거네요
P1 	: 네이트판에서 보던 그런상황인건가
P0 	: 그런 상황이 어떤 상황이죵? ㅋㅋ
