# FILE DATA
ID : MDRW2100012954
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 출근길이이요 9시반출근이라
P0 	: 오 출근이 늦네요 ㅎㅎ
P1 	: 8시부터 30분격으로 본인이 결정하는거라
P1 	: 밤새신건가요?ㅎ
P0 	: 아니요 ㅎㅎ 잤죠
P0 	: 아침에 주식 파느라 ㅎㅎ
P1 	: 오 ㅎ 주식하는군요ㅎ
P1 	: 많이버셨나요?
P0 	: 차라리 안하는게 좋았을...ㅋㅋ
P1 	: 한번 발들이는순간 뺄수없는게 주식~
P1 	: 손절하지않는이상
P0 	: ㅋㅋ손절 몇번쳤죠ㅠ
P1 	: ㅎㅎ 우량주위주로 사셔야죠
P1 	: 요즘 공모주 많이들하던데
P0 	: ㅋㅋ요새는 우량주로..
P1 	: 우량주면 존버하면 언젠가 플러스올때가 있어요ㅎㅎ
P0 	: 네 기다리고 있어요 ㅎㅎ
P0 	: 곧 점심시간이군요
P0 	: 오늘도 이사님과?
P1 	: 네네 점심 먹으러 가는중이요ㅎ
P1 	: 직화오징어로
P0 	: 캬 맛있겠네요
P1 	: 식사하셨어요?
P1 	: 오늘은 아예 출근안하시는건가요?
P0 	: 아직이요 ㅎㅎ
P0 	: 네 내일 오전에 출근해요!!
P1 	: 정상출근인가보네요ㅎ
P1 	: 주야비휴가 계속 반복되는거예요?
P1 	: 주주야비비 뭐이렇게 섞이는건아닌가ㅋㅋ
P0 	: ㅋㅋ4조2교대라서 주야비휴 반복입니다
