# FILE DATA
ID : MDRW2100011591
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 여행가고싶다ㅠ
P1 	: 비행기타고 저쭈 멀리 해외로~
P0 	: 나도 여행가고싶다ㅜ
P0 	: 진짜 코로나만 풀리면 괌 가고싶다ㅜ
P1 	: 솔직히 난 이월드라도 좀 맘편하게 가고픈맘 ㅠ
P1 	: 괌 좋다 좋아~이제 해외가면 동양사람들 다 돌맞는거 아닌가 몰러ㅠ
P0 	: 맞아맞아
P0 	: 이월드라도 맘편하게 공감가네
P0 	: 첫째 이월드가고싶다고했는데
P0 	: 못감 ㅜㅠ
P1 	: 나도 연간끊고싶응데ㅠ
P1 	: 또 확진자 나오고허면 못가니ㅠ
P0 	: 그렇지ㅜㅠ
P0 	: 우린 아직 무리다. 둘째 조금만 더 크면ㅜ가고싶은데
P0 	: 되겠나싶고ㅜ
P1 	: 그러니깐 진짜 기약 없는 기다림 ㅠㅠ
P0 	: 아휴 진짜 맘편하게 놀러가고싶다ㅜ
P0 	: 이 슬픈현실
P0 	: 제주도도 가고싶고ㅜ
P1 	: 그러니..여행얘기는 하면 할수록 술푸더 ㅋㅋㅋㅋㅋ
P1 	: 다들 슬퍼함 ㅋㅋㅋㅋ
P0 	: 그러니깐 ㅋㅋ
P0 	: 마스크끼고 가도 자유롭지못하다ㅋ
P1 	: 그러니~평소에 어디가는거 정말 아무것도 아니라 여겼는데..
P1 	: 이렇게 되니 진짜 소중한거였음~
P0 	: 그러니깐ㅜㅋㅋ
P0 	: 티비로 콘서트장보는데
P0 	: 가고
P0 	: 싶었어
P0 	: ㅋㅋ
P1 	: 어떤 사람이 전생이였던거냐고ㅠ
P1 	: 기억도 안난다며~
P0 	: 그렇겠다ㅜㅜ
P0 	: 맞는말이네
P1 	: 설악산가서 가훈 적어오고해야되는데~
P1 	: 옥돌에다가 ㅋㅋㅋㅋ
P0 	: ㅋㅋㄱㅋㅋㅋㅋㅋㅋ웃겨ㅋㅋㅋ
