# FILE DATA
ID : MDRW2100013203
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 으으으
P0 	: 팬들도엄청
P0 	: 무해한이미지로
P0 	: 포장해줌
P1 	: 맞아 엄청 올려치기하더라
P0 	: 영업도그렇게하고
P1 	: 으 진심 한심해
P0 	: 어휴
P1 	: 왜 범죄자를 쉴드쳐주냐고
P0 	: 덕질은진짜사람망치는게
P0 	: 있는거같음
P0 	: 그런범죄자는
P0 	: 진짜왜덕질하는지
P1 	: ㅇㅈㅇㅈ
P0 	: 트위터가진심그런게심해
P0 	: 그런범죄자한테
P0 	: 빠져나오지못하고
P0 	: 덕질하는
P0 	: 나에
P0 	: 엄청취해있음
P1 	: ㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 너무 알아서 짜증나
P0 	: ㅋㅋㅋㅋㅋㅋ그니가
P0 	: 특히알계나
P0 	: 까빠들이
P0 	: 심한듯
P0 	: 그냥탈덕하지
P0 	: 순덕도물론
P0 	: 다쉴드쳐서짜증남
P1 	: ㅇㅈㅇㅈ
P1 	: 뭐하는 거야 진심
