# FILE DATA
ID : MDRW2100031874
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 기타
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 따님과 즐거운 시간이 되셨습니까
P1 	: 저도     처가 댁 가서 밥 두 그릇 먹었습니다
P0 	: 간만에 좋은 시간이었습니다
P0 	: 저희 부부도 지난주에 2차까지 백신 맞고
P0 	: 딸도 이번주에 백신 2차 맞아서
P0 	: 좀 더 편한 마음으로 오붓하게 대화도 나누고 식사도 했습니다
P1 	: 혹시 딸 두분이신가요?
P1 	: 오늘 딸 다녀가신분과 배우자 사이신가보네요
P0 	: 아 제 아내도 이거 합니다
P0 	: 딸이 알려줬어요
P1 	: 아  스마트폰 잘 사용하시더라고요
P1 	: 닉네임이 비슷해서 알아봤습니다
P0 	: 저보다 잘합니다
P0 	: 저는 겨우겨우 하고 있지요
P1 	: 잘 하십니다
P0 	: 가족 중 가장 늦게 스마트폰에 입문했습니다
P1 	: 시작이 반입니다
P1 	: 더 좋아 지실겁니다
P1 	: 축하드려요
P0 	: 이게 알려줘도 잊어버리고 또 들어도 모르겠고
P0 	: 계속 해봐서 익숙해져야  하는데 쉽지가 않습니다
P0 	: 요새는 큐알코드 연습중입니다
P1 	: 반복 학습이 답입니다
P1 	: 요행은 없어유
P1 	: 많이해보셔요
P0 	: 그러게 말입니다
P0 	: 완전 암기가 될때까지 해야할 듯 합니다
P0 	: 그래도 아내와 딸이 있어서 도움을 많이 받고 있어요
P1 	: 네 좋으시겠습니다
P1 	: 두 딸 다 결혼했나요?
P0 	: 한딸만 결혼해서 아들이 있습니다
