# FILE DATA
ID : MDRW2100010101
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 일상 트렌드>메타버스(가상세계) 서비스

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아....쓰읍..
P1 	: ..
P0 	: 요즘 네이버 아바타가 돈 많이벌고 있대요
P1 	: 네이버 아바타있어요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ제가 아는 아바타 그거밖에없는데...그 예전에 야후꾸러긴가
P1 	: 하씁 그거..
P0 	: 네네 그 제페토
P1 	: 아니면 영화.
P1 	: 아
P1 	: 아 제페토~!
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하 쓰읍
P0 	: 제페토 이번에 독립분사됐는데
P1 	: 하 큰일낫네..
P1 	: 아놔
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 독립했다는 건 돈이 된다는 뜻이잔아요(?)
P1 	: 그쵸
P0 	: 글고 주식도 메타버스 관련주들이 지금 많이 올랐어요
P1 	: 아무래도...... 그 멤놀? 하는 분들이 사용하시지 않을까...
P1 	: ㅋㅌㅋㅋㅋㅋㅋ아놔!!!!
P0 	: 비트코인도 크게보면 메타버스로 묶이더라고요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래요? 와 헐 신기하다
P1 	: 하긴 그것도 '가상'이긴 하니까
P0 	: 네네 그 VR AR 이런세계에서
P1 	: 와 신기하네요
P0 	: 코인으로 부동산사고 콘텐츠 사고 이러는 거에요
P0 	: 그래서 그 관련주들이..(?
P0 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 생각보다 메타버스가 엄청...크네요 되게 큰 카테고리네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 영화같은데 보면
P0 	: 육체는 늙어가지만 가상세계에 들어가서
P0 	: 영원히 젊은이로 사는 내용도 있고 그러던데
P1 	: 엇...저는....
P1 	: 저는..저는 반대입니다.
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저도요
P1 	: 아니 그 웹툰중에서 그 니나의 마법서랍인가 그 서랍안도 가상세계잖아요
P0 	: 저는 사실 편의시설은 가상세계가 먹을거라고 생각하지만
P0 	: 네네 그 랑또님 작품
P0 	: 근데 그 코로나때문에 느낀건데
P1 	: 약간 그런 개념으로 가상세계에서 살면 불쾌한.....씁..
P1 	: 아 맞아요 솔직히 편의시설은 진짜
P0 	: 사람은 대면으로 만나야할 때가 잇어요
P1 	: 맞아요!!!!!!!!!!!!
P0 	: 교육이 원래 가상현실, ai 선생님 이러면서
P1 	: 가상세계가 좋아보이지만 거기에 속하지 않아서 좋아보인다고 생갓해요 일상이 되면 다르다...
P1 	: 아 아 맞아요!
P1 	: 하긴 ai판사 도입<이것도 개발중이라면서요
P0 	: 좀 가상세계에 먹힐거다 이런느낌이었는데 요즘 아이들 학습능력 떨어지는 거 보니 대면수업 꼭 필요하다고 생각됩니다
P0 	: 맞아요 일상이되면 다를것같아요
