# FILE DATA
ID : MDRW2100023123
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 저녁드셨나여?
P1 	: 네 저는 카레랑 해서 먹었습니다ㅎㅎ
P1 	: 그쪽은 저녁 드셨어요?
P0 	: 아직 안 먹엇어요
P0 	: 배고프네요ㅠㅠㅠ
P1 	: 헉 어쩌시다가 아직도 안 드셨어요ㅜㅜ
P0 	: 흑흑 귀찮아서 이렇게 됐네요..
P0 	: 카레는 직접 해드신건가요?
P1 	: 아뇨 부모님이 해주셨어요!
P1 	: 지금이라도 배달시키는 건 어떠세요?
P1 	: 배달이라두ㅎㅎ
P0 	: 지금 배달 안 되는 곳에 있어서
P0 	: 안될것같아여 ㅠㅠㅠㅠㅠ
P0 	: 햄버거 있는거나 먹을까해영..
P1 	: 악ㅜㅜㅜ제가 다 안타까워요
P1 	: 햄버거는 무슨맛 햄버거예요?
P0 	: 더블불고기영!!
P0 	: 너무 맛있지않나요 더불 ㅠㅠㅠㅠㅠ
P1 	: 헉 맥날껀가요???
P0 	: 네넹 맥날이요!
P1 	: 저도 더불 좋아해요 ㅋㅋㅋㅋㅋ
P1 	: 젤 좋아하는 건 더블치즈버거지만ㅎㅎ
P0 	: 더블치즈버거는 어디 건가요?
P1 	: 여기도 맥날거예요!
P1 	: 히든메뉴였는데 최근에 풀린걸로 알아요ㅎㅎ
P0 	: 오옹
P0 	: 맛있겠네요
P0 	: 맥윙 단종된 거 아시나요ㅠㅠ
