# FILE DATA
ID : MDRW2100014679
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 강원
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 너 심야괴담회보나?
P0 	: 아 그거 무서운얘기하는거지
P0 	: 안봐ㅋㅋ
P1 	: 나도 무서운거 싫은데 넘 재밌엌ㅋㅋㅋㅋㅋ
P1 	: 근데 자기전엔 안봄
P1 	: 꿈에나올까봐ㅋㅋㅋ
P0 	: ㅋㅋㅋ아 뭔데 자기전에만 안보면 괜찮?
P0 	: 맨.인더다크 2 개봉한다는데
P0 	: 영화관가서 보고싶어
P0 	: 너는 보고싶은 영화 없어?
P1 	: 나 요새 영화 땡기는게 없음ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 영화관도 간적이...
P0 	: 너 취향 영화 요즘 없나?
P0 	: 나는 그래도 몇달동안 영화 꽤 봤어
P0 	: 블랙위도우 킬러의 보디가드 보스베이비 이렇게 !
P1 	: 오 되게많이봤네??!
P1 	: 나는 요새 영화보다는 드라마라ㅋㅋㅋㅋㅋ
P1 	: 드라마아니면 예능ㅋㅋㅋ
P0 	: ㅋㅋ나랑 반대네
P0 	: 나는 요즘 드라마랑 예능 챙겨보는게 별로없어
P0 	: 영화관가서 영화보는게 힐링이야
P0 	: 근데 영화비 너무비쌈
P1 	: 나 메가박스 원래 스크할인됐는데 스크에서 이제 할인적용안해준대ㅋㅋㅋㅋ
P1 	: 영화 볼것두 없는데 영화관비싸고 통신사할인도 안되고...ㅎㅎ
P0 	: 요즘 할인적용 다 없애더라
P0 	: 그래서 영화관자체 이벤트 할인 쓰는중
P0 	: 쿠폰 엄청 뿌려서 선착안에 들면 이득
P1 	: ㅋㅋㅋㅋㅋㅋ그리고 넷플있어서 뭔가 넷플에 올라오길 바라는중ㅋㅋㅋ
P0 	: 하긴 넷플이용하면 뭐ㅋㅋ근데 나는 영화관 자체를 가는걸 즐기는 사람이라서
P0 	: 영화관 아니면 집중을 못해
P0 	: 계속 앞으로 넘겨ㅋㅋㅋ
P1 	: 아 뭔지알아ㅋㅋㅋㅋ
P1 	: 넷플이나 티빙 웨이브로 보면 배속으로 보거나 10초건너뛰고ㅋㅋㅋㅋ
