# FILE DATA
ID : MDRW2100022224
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 점심 뭐 드실거에요?
P0 	: 전 어제 빵 사놓은게있어서
P0 	: 그거먹으려구요
P0 	: &name2&님은 정하셨나요
P1 	: ㅠㅠ 저 참치뽈찜 먹으려구요!
P1 	: 먹어봤어요 이거?
P0 	: 우와
P0 	: 뽈찜이 뭐에요
P0 	: 생선머리찜인가요
P1 	: 어멐ㅋㅋㅋ 생선머리는 아니구요
P1 	: 참치 부위 중에서 특수부위라고 하더라구요?
P0 	: 아.. 처음들어봐요
P0 	: 뽈이라는 부위가 있구나
P0 	: 이전에 드셔보신적은 있으세요?
P1 	: 저 이거 처음 먹어봐요 ㅜㅜ
P1 	: 그래서 좀 기대되는데 기대반 걱정반이기도 해요 ㅋㅋ
P0 	: 헉 그럼 더 기대되시겠어요
P0 	: 어딴점이 걱정되시나요
P1 	: 네네 근데 맛이름이 독특하더라구요
P1 	: 들어볼래요?
P0 	: 네
P1 	: 수원왕갈비맛이래요 ㅋㅋㅋㅋ
P0 	: 왕갈비요?
P0 	: 생선에서요?
P1 	: 네 ㅋㅋㅋ 상상되나요 이게..?
P1 	: 네 ㅋㅋㅋㅋㅋㅋ
P0 	: 아니요ㅋㅋㅋㅋ
P1 	: 그냥 간장맛 아닐까싶어요
P0 	: ㄴㅇㄱ 예상치 못한
P1 	: 다른 것도 맛 특이하더라구요
P1 	: 회기동닭볶음탕맛 ㅋㅋㅋㅋ
P0 	: 너무 신기해요
P0 	: 닭볶음탕요,
P1 	: 이건 상상이 되긴해요.. 빨간양념맛이겠죠 뭐
P0 	: 진짜 예상이 안가네요
