# FILE DATA
ID : MDRW2100034713
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 팀버튼의 배트맨은
P0 	: 88 90년인가 그쯤인데
P0 	: 거기 나온 조커는요 -_- 미술관서 현대미술을 부수고요
P0 	: 그담에 뭘하게요? ㅋㅋ
P1 	: 현대미술 다음에요?
P1 	: 경비를 죽이나요?
P0 	: 여자얼굴에 염산뿌려요 ㅋ
P0 	: 여자친구인데
P1 	: 헐
P1 	: 참 유구한 역사가 있는 행위군요
P1 	: 어느 나라의 누구와 다르지 않은ㅋㅋ
P0 	: 아 미술관 가기 전인가 훈가
P0 	: 기억이 안나는데 여자얼굴에 염산 뿌려놓고 자기 마스터피스라고 해요
P0 	: 아 찾아보니 염산은 미술관 테러전이구나
P1 	: ㅋㅋㅋ 여자는 부모님이 만들어주셨지 자기가 뭔데 마스터피스에요?
P1 	: 애초에 본인이 마스터라고 하는 그 자의식과잉ㅋㅋ
P0 	: 그리고 그 염산테로 보여주는 장면도 ㅡㅡ
P0 	: 배트맨 여자친구에게 만나자고 불러서 꼬시곤
P0 	: 배트맨여친이 기자였나 그랬을거에요 그래서 나간건데
P0 	: 그때 배트맨 여친에게 자기 여친얼구루 - 염산으로 녹음-을 보여줘요
P1 	: 헐
P1 	: 진짜
P1 	: 조커와 유투브 그사람들 다를게 없네요
P0 	: 결국 조커에게 염산테러당한 조커여친은
P0 	: suicide 해요
P0 	: 필터링때문에
P1 	: 허류
P1 	: 그 얼마전 나온 영화도
P0 	: 조커여친이 얼굴을 가리고 다니는 가면이 있는데 ㅡㅡ
P0 	: 여친이 추락사해서 가면이 뽀개진게 나와요
P1 	: 진짜 잔인하네요
P1 	: 할리퀸도 화학물질 통에 떨어지도록 조장하잖아요
P0 	: 글서 조커는 안 지질하단 사람들 생각에 동의안해요
P0 	: 맞아요 그게 염산테러가 그쪽으로 바귄걸거에요 배트맨 캐릭터 설정도 시간지나며 바귀자나여
P0 	: 어떤 만화책선 여친이 살자하고 어떤 만화책선 할리퀸되고 이런 변주?
P1 	: 글쿠나
