# FILE DATA
ID : MDRW2100031073
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 맛 별로?
P0 	: 아니ㅜㅜ 나중에 피자랑 폭립먹을거라서
P1 	: 오예
P1 	: 맛난 메뉴~~
P0 	: ㅇㅇ 아까 배고파서 과자 좀 집어먹어서
P0 	: 완전 칼로리오버
P1 	: ㅎ하루니까ㅎ 넘기자 %%
P0 	: ㅇㅇㅠㅠ
P0 	: 먹을게있음 그냥 넘기지를 못 하네
P1 	: ㅎㅎ나도 먹을거있음 맛보고픈 욕구 못 참음ㅎ
P0 	: ㅜㅜ
P0 	: 떡볶이는 먹었닝!
P1 	: 응 먹었어
P1 	: 근디 먹고보니 저녁타임ㅋ
P0 	: ㅋㅋ 맛있었나
P1 	: 응ㅋㅋ
P1 	: 너무 배불ㅜㅜ
	  내가 좋아하는 메뉴라서 저녁식당서 먹을랬는데
	  순대 손 안돼고 바로 뒀어야하냐브ㅏ
P1 	: 하나봐
P0 	: 어쩔ㅠㅠ 밥 묵어야되는데
P0 	: 오늘 저녁메뉴뭐야?
P1 	: 두부두루치기
	  감자맑은국
	  둥근호박전
	  소시지채소볶음
	  숙주나물
	  김치
	  토마토
P1 	: 메뉴 좋은데ㅜㅜ
P0 	: 오 맛있겠다 식단이 맛있고 건강식이네
P1 	: 응 포장하고싶다ㅋ
P1 	: 저건 포장 메뉴 아니라서ㅜㅜ
