# FILE DATA
ID : MDRW2100017148
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 기억에 남는 고객있었나요
P1 	: 고객님...
P1 	: 좋았던 고객님들?
P1 	: 음....
P0 	: 아무나요
P1 	: 자주 웃으셨던 고객님들
P1 	: 제가 실수했는데
P1 	: 괜찮다고 넘어가주신 분들
P0 	: 아 그런 분들 되게 감사하죠
P1 	: 힘내라고 해주신 분들
P1 	: 맞아요 ㅎㅎ
P1 	: 제 고객님은 아니었는데
P0 	: 힘이 많이 났겠어요
P1 	: 제 동기가 와인을 바지에 쏟은 거에요
P0 	: 네 말씀하세요
P0 	: 헉
P0 	: 그런일이
P1 	: 고객님 양복바지에요
P1 	: 동기 잘못이라기에는
P0 	: 식겁하셨겠다
P1 	: 기내가 흔들려서요
P1 	: 근데 또 정말 프로페셔널하면
P0 	: 아.. 고의치않은 사고였구나
P1 	: 그런 실수 없기도하니깐...
P1 	: 근데 그 승객분이 웃으면서 넘어가주시더라구요
P0 	: 사람은 누구나 다 실수해요 완벽할 수 없으니까
P1 	: 젊은 사람들 고생한다면서 ㅎㅎ
P0 	: 그래도 그분 되게 감사했겠어요
P1 	: 친구가 무릎 꿇었는데
P1 	: 괜찮다고 일어나라구
P0 	: 헉.. 무릎까지
P1 	: 그래주셔서 진짜 눈물났어요
