# FILE DATA
ID : MDRW2100030384
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 농림/어업/임업 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 헐 맞아요...
P1 	: 그 불에서 사람 살린...그 에피도 좋아해ㅛㄴ느제...
P1 	: 어떻게 그러케..ㅎ...ㅎ.ㅎ....
P1 	: ㅠㅠㅠㅠ
P0 	: 그니까요!!!!! 저 그 자기가 먼저 자수하러 왔을 때
P0 	: 진짜 소름 쫙 끼쳤어요 ㅠㅠ
P0 	: 그리고 그 알파벳 판 보여줄때..
P1 	: ㅠㅠㅠㅠㅠ아 진짜 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 미우도 언내도 스토리도 너무 좋은데.. 그걸 보여주는 연출이 진짜 너무 최고에요...
P0 	: 그니까요!!! 그리고 캐릭터도 진짜 매력적인 것 같아요!
P0 	: 저 그 언내 주인공 동료! 너무 좋아했어요
P0 	: 그 그 누명 쓸뻔했던!
P1 	: ㅠㅠㅠㅠ헉마자요 아이고 ㅠㅠ이름이생각안나네 ㅠㅠ ㅠㅠㅠㅠㅠㅠㅠㅡ
P0 	: 마...? 뭐 이런 이름이었던 것 같기도 하고
P0 	: 그 잠입 기자도 귀여웟어요 ㅋㅋㅋ
P1 	: 마자요 쿠베?? 맞나 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 앗 그랬던 거 같아요 ㅋㅋㅋㅋㅋ 근데 ㅠ 정체 처음 밝혀졌을 때
P0 	: 좀.. 배신감 들었어요 ㅠ
P1 	: 그 아오모리사투리쓰는 애등나오는 편인데
P1 	: 미코토랑 나카도가 같이 조사하는 거 나온 것두조앗어용
P0 	: 어라라.. 그게.. 뭐였죠...?????
P0 	: 아 그 약혼녀 죽은???
P0 	: 그 편인가요??
P1 	: 네! ㅋㅋㅋㅋㅋ 아니 설명하려는데 자꾸 단어들이 나쁜말로 걸리더라구요...ㅜㅜ
P0 	: ㅋㅋㅋㅋ ㅠㅠ 가끔 그러더라고요
P0 	: 그 편 약간 나카도가 주인공한테 마음 여는 것 같아ㅗㅅ
P0 	: 좋더라고요 ㅠ !
P1 	: 맞아요!! ㅠㅠㅠㅠ 거기서 또 그 동화책..얘기도나오고...ㅠㅠㅠ
P1 	: 그리고 저 그 장의사? 도 좋았어요 ㅋㅋㅋㅋ 이상한안경썼는데도 잘생긴
P0 	: 아아!!! 맞아요!!!!!!!!!! ㅋㅋㅋㅋㅋ 약간 헐랭한 ㅋ!!!
