# FILE DATA
ID : MDRW2100022358
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 너 책 자주보냐
P0 	: 음 예전에는 소설 뚝딱뚝딱 읽었는데
P0 	: 요즘은 정보성 도서 읽느라
P0 	: 한권 한권 시간이 걸려서
P1 	: 난 최근에 보건교사안은영읽었음
P0 	: 자주 못 봄
P1 	: 정보성도서 니가
P0 	: 어때
P0 	: 재밌니
P1 	: 정리하는거 보고있어
P0 	: 어??
P0 	: 어떤거 말하는거지
P1 	: 안은영 재밌더라
P1 	: 유성애로 끝나서 아쉽긴한데
P1 	: 경제용어
P0 	: 아
P0 	: ㅎㅎㅎㅎㅎㅎ뿌듯하구만
P0 	: 안은영 유성애니 떼잉
P0 	: 그래도
P1 	: 세계관이 특히 재밋ㄷㅎ얻
P0 	: 주인공이 째밌다고
P0 	: 맞아
P0 	: 위시리스트에 넣어두고
P0 	: 아직 안 읽고 있는데
P0 	: 시간내서 봐야겠는걸?
P0 	: 그거 드라마도 독특하다고
P0 	: 사람들이 호평했던 걸로 기억해
P0 	: 근데 난 드라마보다
P1 	: 보건교사 안은영 쓴 작가가
P0 	: 원작 책을 좋아해서 책 읽어보려구
P1 	: 쓴 다른책도 꽤 재밌어
P0 	: 정세랑 작가였나
P1 	: ㄷ맞아
P1 	: 피프티피플이라는 책도
P1 	: 재밌어
P0 	: 사이버도서관에 있나
P0 	: 찾아볼까 잠만
P1 	: 있을지도
P0 	: 이런.. 없다
P0 	: 안타깝다
P1 	: 아놔
P1 	: 나 폰이 고장나서 자꾸
