# FILE DATA
ID : MDRW2100018355
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 가고싶은 여행지 있나요?
P1 	: 안녕하세요
P1 	: 저는 울릉도 가고싶어요
P0 	: 헐 너무 좋다더라고요 울릉도 저는 경주가고 싶네요!ㅎㅎ
P1 	: 경주 진짜 좋아요
P1 	: 저도 옛날에 좋아서 두 번이나 갔어요
P0 	: 하 그쵸... 저 아무것도 모르는 시절에 가서 그냥 대충보고 온게 성인 되고 보니 너무 아쉬운거예요ㅠ
P0 	: 그래서 경주 가고 싶어요 하....
P0 	: 갔다오셨던 여행지중에 여긴 다신 안간다 하는 곳 있나요?
P1 	: 한번 다녀오세요
P1 	: 다신 안가고싶었던 곳은 전주였는데
P1 	: 어떻게 하다보니 다시 가게 됐거든요? 근데 너무 좋았어요
P1 	: 처음 갈 땐 너무 더운 날 가서 잘 몰랐었나봐요
P0 	: 하 헐 그래요?
P0 	: 저도 전주 갔었는데 야시장이 너무 좋은거예요...
P0 	: 더운 날만 아니면 진짜 여행이 즐거워지는 거 같아요
P0 	: ㅋㅋㅋㅋㅋㅎㅎ
P1 	: 와 야시장이 있었는지는 몰랐어요
P1 	: 또 가야할 이유가 생겼네요 ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ거기 야시장 엄청 유명하더라고요 전주!!!!
P0 	: 저는 코로나한참 전에 갔는데 돌아다니며 먹을 수 있다는 거에 행복했답니다
P1 	: 와... 대박 ㅠㅠ 코로나 전에 ... 전 기억도 안나네여
P1 	: 아 저 코로나 직전에 유럽갔었어오
P0 	: 우와 좋겠다ㅠㅠㅠㅠㅠㅠ 유럽 어디다녀오셨나요
P1 	: 전 부다페스트랑 프라하여
P1 	: 그때 진짜 고생했는데...
P1 	: 간거 후회했는데...
P1 	: 코로나 오니까.. 갔다온 게 다행인 거였어요
P0 	: 헐 헐 헐 헐
P0 	: 너무 좋았을 거 같은데 후회하셨나요? ㅠㅠ
P1 	: 그때 좀 사건이 있어서 힘들었거든오...
P1 	: 그래서 좀 후회했어요
P1 	: 근데 지금와서보면 너무 잘한일이져
P0 	: 아이고 ㅠㅠㅠㅠ
P0 	: 그렇죠! 지금 생각하면 한 곳이라도 더 갔다온 게 잘한 일이죠 ㅋㅋㅋㅎㅎ
