# FILE DATA
ID : MDRW2100011247
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 광주
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>동호회/스터디
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ언니의 일에 대해서 알려줘
P0 	: 나는 우리 브랜드가 들어간 대기업 제품을 출시하고 알리고 판매가 잘되도록 도와주는 영업마케팅 업무를 하고 있지ㅋㅋㅋㅋ
P0 	: 말은 쉬운데 너무 업무 영역이 광범위함ㅜㅜ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ아무래도 대기업제품이 다양하고 그러니 노트북만 해당?
P0 	: ㅋㅋㅋㅋㅋ대기업 노트북 데탑
P0 	: 거래처도 넘 많아서 일손도 부족해ㄷㄷ
P1 	: 요새 많이바쁠텐데 너무 안뽑아주는거 아냐?
P0 	: 그러니깐ㅜ
P0 	: 실무자가 딱 한명 뿐인데 다 할 수 있다고 생각하나봄ㅋㅋㅋㅋㅋ
P1 	: 어우 그 많은 양을 어떻게 해 스트레스다
P0 	: ㅋㅋㅋㅋ안그래도 사람 하나 뽑아준다면서
P0 	: 어떤 사람이 필요하냐고 물었는데
P0 	: 나 사람 처음 뽑아보는거라서 잘 말한건지 몰긋다
P0 	: ㅋㅋㅋ
P1 	: 어떤 인재를 말했나요?ㅋㅋ
P0 	: ㅋㅋㅋ그냥 supportive한 사람이면 좋겠다고
P0 	: 디자인 능력도 있으면 좋겠고
P0 	: translation 능력도 필요하고
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 헉 어렵네 그럼 좀 연봉 쎄야하지않아?
P0 	: 아니 이건 아주 기본적인거야
P0 	: ㅋㅋ
P0 	: 매니저 역할이 아니라서ㅋㅋ
P1 	: 그래도 디자인도 되야하고 번역도 필요하고 서포트도 잘해야하면ㄷㄷ
P0 	: ㅋㅋ그거 별거 아닌데
P0 	: 디자인은 그리고 플러스 요소얔ㅋㅋㅋ
P0 	: 난 그거 전부 하고도 다른 일도 다했는뎅
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 디자인도?포토샵?
P0 	: 포토샵도 했었지
P0 	: ㅋㅋㅋ
P0 	: 지금 내가 뽑는 사람은 예전에 내 윗사람 있을때 내가 한 일 할사람을 뽑는거라서
P0 	: 2년차 정도면 되는데
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 우와 언니 대박이다ㅋㅋㅋㅋㅋㅋ포토샵까디
P0 	: 막 멋있게 디자인 하는게 아니고
P0 	: 로고 붙여넣고 그정도
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 디자인은 에이전시에서 해주니깐
P1 	: 아아 난 디자인도 해야하는줄ㅋㅋ
P0 	: 아냐 이건 플러스라는거고
P0 	: 나머지가 메인이지
P0 	: 암튼 빨리 뽑혔음 좋겠어ㅜ
