# FILE DATA
ID : MDRW2100031593
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 맞아
P0 	: 동아리에서는
P0 	: 요즘 뭐해?
P0 	: 아직 그 모의투자해?
P1 	: 그
P1 	: DB 투자대회
P1 	: 예선 통과해서
P1 	: 본선 진출했엉
P1 	: 2학기 활동은 아직 안나온것 같은데
P0 	: 헐
P0 	: 대박
P0 	: 예선 본선 그런거도있구나
P1 	: 응응
P0 	: 수익금으로 등수 내는거야??
P1 	: 응
P1 	: 누적 수익금으로
P0 	: 오
P0 	: 신기하다
P1 	: 근데 코스닥 땜에
P1 	: 개 말아먹음
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 국내주식이야?
P0 	: 머머샀는데?
P1 	: 아 그게
P1 	: 내가 돈이 있으면
P1 	: 국내에 얼마 투자하고 해외에 얼마나 투자할지
P1 	: 비중을 가지고 하는거라서
P0 	: 아하
P1 	: 코스닥 20/ 코스피 20/ 유로스탁스 14
P1 	: 이런식으로 해서 총 100 하는거걷든
P0 	: 오오
P0 	: 진짜 전문적으로 하는구나
P1 	: 근데 지난달에
P0 	: 믓지다
P0 	: 응
