# FILE DATA
ID : MDRW2100036210
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 백신은 언제 맞아요
P1 	: 아 이렇게하는거였어요 대화가후딱후딱
P0 	: 그럼그럼
P1 	: 백신9월10일요
P1 	: 2차는언제
P1 	: 예요
P0 	: 오 아직 좀 남앗둔요
P0 	: 이번주 토욜이에용
P1 	: 헙
P1 	: 곧이네요
P1 	: 백신떨려요
P0 	: 점점 화이자맞고 부작용 나타난 사람들 기사가 뜨니깐
P1 	: 동생도골골했어요
P0 	: 2차 맞으러가기 시러용
P1 	: 무섭더라구요
P0 	: 청원글 봐써용??
P1 	: 아니요 혹시부인죽은거그건가요..?
P1 	: 아닌가
P0 	: 백신 맞고 급성 백혈병온 체육교사
P0 	: 백신 맞고 내장 다 썩은 초등 교사
P0 	: 둘다 남자이긴한데 무섭네영....
P1 	: ..헐
P1 	: 내장이다썩었다구..?
P1 	: 백혈병도헐이네..
P0 	: 그니깐 무섭
P0 	: 그래서 남자들은 좀 위험하겟다 하고 넘기다가
P0 	: 뉴질랜드 화이자 첫 사망자가 나왓는데 30대 여성이엇대서
P0 	: 후달달햇어요
P1 	: 아..
P1 	: 무서운데
P0 	: 혹시 제가 어떻게 되더라도 저와의 대화 잘 기억해 주세요
	  ..
P1 	: 백신맞고죽는건좀슬픈데
P1 	: 아니유언을여기서
P0 	: 그니까여...
P1 	: ㅇㅈㄹ
P0 	: ㅋㅋㅋㅋㅋㅋ
