# FILE DATA
ID : MDRW2100024794
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 부산도 비가 많이오나요?
P0 	: 비안오는데 밤새 비가 온다고
P0 	: 재난문자 왔어요 ㅌㅋㅋㅋ
P0 	: 내일 데이트할건데? 또 비가?
P1 	: 비를 몰고오는게 맞네요?
P1 	: ㅋㅋㅋ
P0 	: 에헴 저는 내일 오락실 갈거에요
P1 	: 오락실이요?
P1 	: 모하러?
P1 	: 철권 할 줄 알아요?
P0 	: ㅋㅋㅋㅋ사격하러갈거에요
P0 	: 남친이 소개팅시절 총 쏘는 연습을 열심히 한 얘길
P0 	: 엄청 열심히 했었기때문에
P1 	: 어?ㅋㅋㅋ
P1 	: 사격은 초창기 데이트때 다 하나봐요
P1 	: 우리도 많이 했는데 ㅋㅋㅋㅋㅋ
P1 	: 여친 술취해서 음주 사격 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 전 맨정신 사격을 할거지만
P0 	: 과선배들과 음주사격 했을 때 내기 1등했었기 땜에 엣헴
P1 	: 오
P1 	: 자신감이 넘치네요???
P1 	: 남친을 이길수 있다는 자신감??
P0 	: 소원 내기를 걸고
P0 	: 이겨서
P0 	: 소원을 말해봐야죠
P1 	: 오
P1 	: 큰거 걸렸네요 ㅋㅋㅋㅋ
P0 	: 초창기때 다 해보셨죠?
P1 	: 네
P1 	: ㅋㅋㅋㅋ
P1 	: 어쩜이리 비슷한지
P0 	: ㅋㅋㅋㅋ오락실 진짜 몇년만에 첨 가는데
P0 	: 요즘은 진짜 별게 다 있네요 신기한 현대문명
P1 	: ㅋㅋㅋㅋㅋㅋ 나이드신분처럼 왜그러세요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ너무 집구석에만 있었나봐요ㅋㅋㅋㅋ
P1 	: 사격해보시면 더 신기해하실듯
P0 	: 아니 사격은 음주 후 코스로 한창 대학시절 자주 했져
P0 	: 데이트로는 처음이에요
P1 	: ㅋㅋㅋㅋㅋㅋ 이제 느껴봐요
P0 	: 자자 소원 추천 받아요
P1 	: 음
P1 	: 내가 부르면 언제든 나한테 오기 1회권
P0 	: 오 그거 너무 좋네요
P1 	: 좋죠?
P1 	: 지금 당장쓰는게 아니라
P1 	: 킵해뒀다가
P1 	: 나중에 쓰는거죠
