# FILE DATA
ID : MDRW2100045027
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 피자 좋아하시나요?
P1 	: &name1&님 치킨이 좋으세요 피자가 좋으세요!
P0 	: 요즘엔 피자요!!!
P0 	: 뭐 좋아하시나요
P1 	: 저도요!@@
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 일부러 치킨 먼저 말했는데
P1 	: 걸려들지 않으시군요
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 피자가 요즘 맛있더라구요
P0 	: 좋아하는 피자 있으신가요?
P1 	: 저는 다 좋아요 &name1&닌은요?
P0 	: 저도 다 좋아해요ㅎㅎ
P0 	: 파인애플 피자도 드세요?
P1 	: 네!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: &name1&님 드시나요
P0 	: 네 맛있게 먹어요ㅋㅋㅋㅋㅋㅋ
P0 	: 올리브는 좋아하세요?
P1 	: 네 올리브도 좋아요ㅋㅋㅋㅋ
P1 	: 근데 좀 너무 짜욬ㅋㅋ
P0 	: 그런가요???!!!
P0 	: 제가 짜게 먹어서 그런지 그저 맛있더라구요...
P1 	: 엇 그럼 파파존스 좋아하시나요
P0 	: 파파존스를 잘안먹어봤어요ㅎㅎ
P0 	: 브라우니가 참 맛있더라구요
P1 	: 짠피자 좋아하시면 드셔보셔요
P1 	: 맛있어요 ㅋㅋㅋㅋ
