# FILE DATA
ID : MDRW2100032228
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그래 나몰랏는디
P1 	: 8월 1+1이얄데
P1 	: 장바구니 살뻔
P0 	: 아헐!
P0 	: 백퍼샀을텐데
P0 	: ㅠㅠㅠㅠㅠㅠㅠ
P1 	: 마자....
P1 	: 호피 위글이 존귀던데
P1 	: 파랑데이지랑
P0 	: 위글위글사는거 허락
P0 	: ㅜㅜ
P1 	: 샀어 ㅋㅋㅋㅋㅋ
P0 	: 잘햇어ㅜㅜ
P0 	: 소비로라도풀어야함
P1 	: ㅋㅋㅋㅋㅋㅋㅋ 후어제 파워 쇼핑을 토욜도 햇는데 돌앗음
P1 	: 올리브영 세일 마이하두라
P0 	: 구랭?
P0 	: 랄라블라쿠폰쓰러가야대는데
P1 	: 뭐선쿠폰쓰?
P0 	: 에스케이 브이아이피쿠폰!
P0 	: 이만원쓰면 칠처넌할인해준대
P1 	: 뭥나드
P1 	: 븨아이피인디
P1 	: 왜몰라찌어서받오?
P0 	: 티멤버십드가면
P0 	: vip pick 보이지
P0 	: 거기서받을수있음!
P0 	: 한달에한번씩
P0 	: 랄라블라는올해첨본거같지만
P1 	: 후후 덕분에
P1 	: 해땅
P1 	: 함 가야게꾼
P0 	: 고고우
