# FILE DATA
ID : MDRW2100030353
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 부산
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음식은 삶이죠
P1 	: 밤샐 수 있죠 음식 이야기
P0 	: 음식은 진리입니다
P1 	: 족발 좋아하나요
P0 	: 다 잘 먹고 살려고 돈 버는 거죠
P1 	: 대신동 족발은 맛이 변했어요
P0 	: 매우 좋아합니다
P0 	: 특히 불족발을 좋아해요
P0 	: 비싸고 느끼해요
P1 	: 불족발 맛집은 어디예요
P0 	: 부산진 족발 일하고 있는데
P1 	: 너무 비싸요
P0 	: 부산진 족발 일하고 있는데
P0 	: 이라고있는데
P1 	: 부산진 족발
P0 	: 같은 양의 고기도 많이 주고 뼈를 적게 줘요
P1 	: 어디에 있나요
P0 	: 고기 질도 좋구요 양도 많아요
P0 	: 부산역에서 시켜 먹어 봐서 위치는 잘 모르겠네요
P1 	: 오 정직 하네요
P1 	: 족발은 양이 많아 야죠
P0 	: 정말 맛있었는데 친구가 포장으로 사봤는데 맛있었다고 하더라구요
P1 	: 비싸니까요
P0 	: 매우 만족한다고 했어요
P1 	: 부산역에서 배달 오네요
P0 	: 족발과 같이 먹는 막국수도 정말 맛있죠
P1 	: 저는 족발 냉채 좋아해요
P0 	: 부산역에서 시켰던 거라 부산진 해서 부산역으로 배달 온 거죠
