# FILE DATA
ID : MDRW2100032831
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 닭을 볶는 요리야?
P0 	: 응 닭을 볶는 요리맞아
P1 	: 닭볶음탕 먹었구나! 맞지?
P0 	: 아니야....닭볶음탕
P0 	: 근데 궤는 비슷해
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이런
P1 	: 닭을 볶는 멕시코요리가 뭐가 있지...
P1 	: 야채 들어가?
P0 	: 야채를넣는집도 있는데
P0 	: 아 양념 때문에
P0 	: 무조건 들어갈지도
P1 	: 와 진짜 무슨 음식인지 감도 안 잡히네
P1 	: 닭갈비?
P0 	: 진짜???? 그냥 답 말해줄까?
P1 	: 아니 내가 맞춰볼래 ㅋㅋㅋㅌㅌㅌㅌㅋ너의 저녁식사
P0 	: 하나의 공정이 더 들어가서 헤매는걸지도
P1 	: 아 진짜? 그럼 그 또다른 조리법이 뭐니
P0 	: 튀기지
P0 	: 츠차차차차차!!!!!!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ튀김소리를 그렇게 말하는 거 처음 봐서 너무 웃기다
P0 	: 나도 입술 꽉 깨물었음
P1 	: ㅋzzzzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 볶은 다음 튀겨, 아니면 튀긴 다음 볶아?
P0 	: 튀긴다음 볶을걸
P1 	: 정답 매운닭튀김볶음
P1 	: 너무 개미핥기만큼 정직한 요리명이다
P1 	: 어때 정답이니?
P0 	: ㅣㄱㄱㅋㄱ기ㄱㅋㅋㄱㅋㄱㅋ
P0 	: 양념통닭인데요...
P1 	: 아이고 말해버리믄 우짜
