# FILE DATA
ID : MDRW2100027810
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기술직 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그렇죠 아무래도 보기 싫고 짜증 나는 기분이 드는게
P0 	: 당연 할 것 같아요
P0 	: 아 정말 말도 안 되는 일들이 많이 벌어지더라고요 드라마 보고 있자니
P1 	: 맞아요! 저는 아직안봐서 모르겠지만
P1 	: 어후ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 힘들었습니다ㅋㅋㅋㅋㅋ
P0 	: 너무 고생 많으셨습니다
P0 	: 잔인하고 야만적인 일들이
P0 	: 비일비재하대서 드라마 보면서 너무 충격이었어요
P1 	: 오 궁금하네요!
P1 	: 이번일로 군대에대해 좀 알려졌으면 좋겠네여ㅠ
P0 	: 맞아요 그랬으면 좋겠어요
P1 	: 요새는 근데 핸드폰사용가능하다고해서!
P1 	: 약간 좋아진거같아여
P0 	: 그나마 다행이죠 문제가 있으면 바로 신고할 수 있다는 것 자체가
P0 	: 그래도 큰 발전이긴 한 것 같아요
P1 	: 네네! 맞아요
P1 	: 그래도 저는 1억준다하면 다시 갈거같아여
P0 	: 1억
P0 	: 그러시군용
P0 	: 군대 있을 때 다 싫었겠지만 혹시 하나라도 좋은 점이 있었다면
P0 	: 어떤 걸 꼽고 싶으신가요
P1 	: 좋았던것은 후임 싫었던것은 선임이죠!
P1 	: 지금도 그렇지만 제가 아랫사람들은 되게 편하게 잘다가가는데
P1 	: 선임한테는 잘 그러지못하겠드라구여
P0 	: 그러셨군요 선임 잘못 만나면
P0 	: 진짜 고생 많을거같아요
P0 	: 그렇지않아도 어려운데
P0 	: 그 드라마에서도 완전 막장 선임이어서
P0 	: 나쁜 짓 다 하더라고요
P0 	: 개인적인 편지 마음대로 가져가서 읽고 인격 비하발언을 하거나
P1 	: 헐헐
P0 	: 후임 입에 침 뱉으려고
P0 	: 막 로열젤리
P0 	: 이러면서
P0 	: 너무 충격이었어요
P0 	: 이게 다 실화기반으로
P0 	: 만들어졌다고 들었거든요
P1 	: 헐.. 네네
P1 	: 저는 군대에서 그런경우는못봤지만
P0 	: 다행이에요
P1 	: 진짜 군대내에서 왕따 많아요ㅠㅠ
P1 	: 외모적으로 이상하거나 성격이 이상하면
P0 	: 사람들이 왜 그리 나쁘고 사악한지
P1 	: 사람들이 많이괴롭혀요ㅠㅠ
P0 	: 너무 이상하면 그냥 무관심하게 배제하는 것 까지는
P0 	: 어찌저찌 이해의 여지가 있는데
P0 	: 적극적으로 괴롭히는건 정말
P1 	: 근데 또 군대내부에서는
P0 	: 인간이 같은 인간한테 어떻게 그런 행동을
P0 	: 넹넹
P1 	: 쉬쉬하니까 잘 안알려지는거같아요ㅠㅠ
P0 	: 맞아요 덮고 감추려고만하고ㅜㅜㅜ
P0 	: 이번에 드라마 내용도 막 잡아떼더라구요
P0 	: 이런 일 없다고
