# FILE DATA
ID : MDRW2100024173
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 반려동물 키우시나요? 아이디가 강쥐짱이시길래
P0 	: 아닐수도 있을거 같긴 한데 여쭤봐요 ㅋㅋ
P1 	: 강아지 키워요ㅋㅋㅋ
P1 	: 주택살아서 시골멍뭉이
P0 	: 와 귀엽겠다 저는 멍뭉이 없네여...
P1 	: 귀여워요ㅋㅋ진도믹스ㅋㅋ인데 뭔가 똥강아지에 가까운느낌?ㅋㅋ
P0 	: 시골멍뭉이 귀엽겠다
P0 	: 악 귀여울거 같아요
P1 	: 귀가 쫑긋하지 않아요ㅋㅋㅋㅋ
P1 	: 요즘 흰둥이가 많던데 우리&name3&는 갈색강쥐ㅋㅋ
P1 	: 이름은 이&name3&예요ㅋㅋ제가 이씨라서 ㅎㅎㅎ
P0 	: 자랑 좀 많이 해주세요
P0 	: ㅋㅋㅋㅋ 악
P0 	: &name3&
P0 	: 이름만 들어도 귀여울거 같아요 원래 믹스멍멍이들이 귀엽자나여
P1 	: &name3&는 아직 2살이 안되었어요ㅋㅋ
P1 	: 강아지는 2살이 넘어야 성견이되어서ㅋㅋㅋ지금도 큰데 더 자랄듯ㅋㅋ
P1 	: 근데 커서 더 왕귀여워요ㅋㅋ
P0 	: ㅠㅠ 왕크니까 왕귀엽겠다
P0 	: 똑똑해여? 망충해요?
P1 	: 멍충미를 자랑하는 &name3&랍니다
P1 	: 참새도 놀자고 잡아요ㅎㅎㅎㅎ
P1 	: 놀자 잡았는데 이미 죽음...ㅠ
P0 	: ㅋㅋㅋㅋ 근데 주택에 사시니까 &name3&는 좋겠어요
P0 	: 뛰어놀기에 최고네요
P1 	: 네ㅋㅋ산책도 자주 나가줘요
P0 	: 행복한 강쥐네여
P1 	: 아직애기라서 힘이 넘치거든요ㅋㅋ
P1 	: 행복강쥐 이&name3&ㅋㅋ
