# FILE DATA
ID : MDRW2100042183
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경북
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 대학생이 할 수 있는...새로운 경험.... 동아리는 하시는거 있나요??
P1 	: 아 저 독서 토론 동아리 몇 번 했었어요
P0 	: 오 독서토론!!!
P0 	: 완전 지적이고 좋을 것 같은데요??
P1 	: 흑흑 아니예요... 전 말 주변 좀 높이려고 시작한거였거든요
P0 	: 전 맨날 술만마시는 동아리를 했어서
P1 	: 그후로 책은 보지도 않....ㅎ
P0 	: 그런 동아리 너무 좋아보이네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ앗 봉사동아리
P1 	: 저희 학교는 봉사동아리나 종교 동아리가 술을 많이 마시기로 유명했었어요
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 전 교내 동아리도 친목이고... 대학 연합 친목동아리도 들어갔어요ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 둘다 술을 좀 먹고 건강을 잃었어요
P0 	: 후회돼요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ원래 젊을 때 건강 땡겨 쓰는거죠 뭐
P1 	: 그런 동아리는 다른 곳보다 분위기가 화목하고 좋잖아요 좀 부럽던데
P0 	: 엇 그렇긴한데 뭔가... 더 생산적인 동아리에 들어갈 걸 그랬어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 음 &name2&님 또 학교 생활에서 공부말고
P0 	: 재미난거 있으세요? 동기들이나
P1 	: 음 전 사실 동기들이랑 그렇개 친하게 지낸 편은 아니어서요
P1 	: 근데 어깨너머로 들려오는 연애소식이 참 재밌더라고요
P0 	: 저도 친한 친구 몇명하고만 다녀요!!ㅎㅎㅎ
P0 	: 오 연애....
P0 	: cc구경이 더 재밌죠ㅎㅎㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ맞아요 저번학기엔 과cc로 유명한 커플이 깨졌더라구요 ㅠㅠ
P0 	: 아이고 ㅠ
