# FILE DATA
ID : MDRW2100040649
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 기타

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 와 검색하고왔어요 ㅋㅋㅋㅋ
P0 	: 투게더 크림브륄레!
P1 	: 오잉? 그건 처음들어봐요!
P0 	: 크림브륄레 진짜맛있어요
P0 	: 커스타드 푸딩을 좋아하신다면 이건 안좋아할 수가 없어요
P1 	: 크림브륄레 맛이 나는 유사 식품들은 먹어봤지만
P1 	: 진짜 크림브륄레는 먹어본적이 없어요 ㅠ
P1 	: 그렇게 말씀하신다면 꼭 먹어봐야겠는걸요
P0 	: 진짜꼭먹어보세요 제가사는지역에
P0 	: 어떤 라멘집에서 크림브륄레를 팔았거든요? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그거먹으러 라멘먹으러가고 그랬어요 ㅋㅋㅋ
P1 	: 우와 라멘집에서요?
P1 	: 되게 신기한라멘 가게에요!
P1 	: 옹... 진짜 맛집 발굴을 시도해봐야겟어요
P0 	: 일본인이 라는 라멘가게였는데 크림브륄레가 오히려 유명했죠 ㅋㅋㅋ 한번 드셔보시고
P0 	: 집에서 만드실수있으실거에요!
P1 	: &name1&님은 어떤 디저트 좋아하세요?
P0 	: 사실 전 거의 다 좋아합니다
P0 	: 어떤 디저트를 고르는건 또다른 어떤 디저트에게 실례에요
P1 	: 꺄르륵 ㅋㅋㅋ 역시 배우신분
P0 	: 새로운게 나오면 먹어보고싶은 타입입니다
P0 	: 버터바드셔보셨어요?
P1 	: 네! 먹어봤어요
P1 	: 진짜 새로운 맛이더라구요
P1 	: 이런걸 또 어떻게 만들 생각을 했을까요?
P0 	: 저아직 못먹어봤어요 ㅡㅜㅜㅜ 어떤맛인가요 ㅜ
P1 	: 이걸 어떻게 표현을 하면 좋을까요
P1 	: 버터를 왕창 넣은 뻑뻑하지 않은 스콘?
P0 	: 아...버터바... 아... 먹어본적없지만
