# FILE DATA
ID : MDRW2100042910
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: ???? 마지막 말 못봄
P0 	: 아
P0 	: 교수님들은
P0 	: 본인얘기하는거
P0 	: 엄청좋아한다고
P1 	: 아 ㅇㅋㅇㅋ
P1 	: 진짜 그론 것 같음
P0 	: 그래서학생들도
P0 	: 본인얘기하는거
P0 	: 좋아할거라고생각하나봄
P0 	: 에휴
P1 	: 진짜 한숨만 나옴
P1 	: 어차피 초면인데 뭐 본인 얘기 해봤자 뭐햐
P1 	: 뻘쭘하기만 하고
P0 	: 그러니까
P0 	: 서로별로안궁금해하는거
P0 	: 다아는데
P1 	: ㅋㅌㅌㅌㅋㅌㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 맞지맞지
P0 	: 근데낭독회
P0 	: 대면으로함?
P1 	: 몰라
P1 	: 그럴 듯
P1 	: 망한듯
P0 	: 아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 비대면으로하면
P0 	: 영상찍음?
P1 	: ㄴㄴㄴ
P0 	: 실시간?
P1 	: 비대면으로 하면 극단에 맡긴대
P1 	: 이쪽이 훨씬 이득인데
P0 	: 극단에맡기는건
P1 	: 왜 우리가... 하냐....
P0 	: 어ㅓㄷㅎ게하는거임?
P0 	: 아
P1 	: 전문 배우한테 주는 거임
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아
P0 	: 사실그것도좀
P0 	: 그래도본인이하는것보다
P0 	: 괜찮긴하지
